"";"avg_date";"avg_p1"
"1";2018-10-01 00:11:57;5,37
"2";2018-10-01 00:37:20;6,56
"3";2018-10-01 01:02:38;5,36
"4";2018-10-01 01:27:55;5,98
"5";2018-10-01 01:53:13;5,37
"6";2018-10-01 02:18:31;4,83
"7";2018-10-01 02:43:48;5,05
"8";2018-10-01 03:09:11;4,7
"9";2018-10-01 03:34:29;5,13
"10";2018-10-01 03:59:46;4,56
"11";2018-10-01 04:25:05;5,92
"12";2018-10-01 04:50:23;5,34
"13";2018-10-01 05:15:41;5,1
"14";2018-10-01 05:40:59;6,56
"15";2018-10-01 06:06:16;5,33
"16";2018-10-01 06:31:33;15,32
"17";2018-10-01 06:56:50;13,34
"18";2018-10-01 07:22:08;14,56
"19";2018-10-01 07:47:25;7,32
"20";2018-10-01 08:12:43;5,74
"21";2018-10-01 08:38:01;6,21
"22";2018-10-01 09:03:26;5,56
"23";2018-10-01 09:28:46;5,33
"24";2018-10-01 09:54:03;5,41
"25";2018-10-01 10:19:21;21,65
"26";2018-10-01 10:44:38;16,43
"27";2018-10-01 11:09:56;10,9
"28";2018-10-01 11:35:13;8,16
"29";2018-10-01 12:00:31;8,03
"30";2018-10-01 12:25:48;6,96
"31";2018-10-01 12:51:05;6,62
"32";2018-10-01 13:16:22;6,27
"33";2018-10-01 13:41:40;5,92
"34";2018-10-01 14:06:57;6,2
"35";2018-10-01 14:32:15;5,8
"36";2018-10-01 14:57:32;5,64
"37";2018-10-01 15:22:50;5,23
"38";2018-10-01 15:48:07;6,4
"39";2018-10-01 16:13:24;17,41
"40";2018-10-01 16:38:42;18,05
"41";2018-10-01 17:04:01;16,93
"42";2018-10-01 17:29:19;13,22
"43";2018-10-01 17:54:37;12,03
"44";2018-10-01 18:19:55;10,56
"45";2018-10-01 18:45:14;7,73
"46";2018-10-01 19:10:32;8,33
"47";2018-10-01 19:35:50;6,9
"48";2018-10-01 20:01:07;6,75
"49";2018-10-01 20:26:25;5,45
"50";2018-10-01 20:51:42;4,93
"51";2018-10-01 21:17:00;4,5
"52";2018-10-01 21:42:17;4,64
"53";2018-10-01 22:07:35;3,72
"54";2018-10-01 22:32:52;3,43
"55";2018-10-01 22:58:10;2,61
"56";2018-10-01 23:23:27;2,46
"57";2018-10-01 23:48:45;2,62
