"";"avg_date";"avg_p1"
"1";2018-10-01 00:24:38;5,965
"2";2018-10-01 01:15:17;5,67
"3";2018-10-01 02:05:52;5,1
"4";2018-10-01 02:56:30;4,875
"5";2018-10-01 03:47:08;4,845
"6";2018-10-01 04:37:44;5,63
"7";2018-10-01 05:28:20;5,83
"8";2018-10-01 06:18:54;10,325
"9";2018-10-01 07:09:29;13,95
"10";2018-10-01 08:00:04;6,53
"11";2018-10-01 08:50:43;5,885
"12";2018-10-01 09:41:25;5,37
"13";2018-10-01 10:32:00;19,04
"14";2018-10-01 11:22:35;9,53
"15";2018-10-01 12:13:09;7,495
"16";2018-10-01 13:03:44;6,445
"17";2018-10-01 13:54:18;6,06
"18";2018-10-01 14:44:53;5,72
"19";2018-10-01 15:35:28;5,815
"20";2018-10-01 16:26:03;17,73
"21";2018-10-01 17:16:40;15,075
"22";2018-10-01 18:07:16;11,295
"23";2018-10-01 18:57:53;8,03
"24";2018-10-01 19:48:29;6,825
"25";2018-10-01 20:39:04;5,19
"26";2018-10-01 21:29:38;4,57
"27";2018-10-01 22:20:14;3,575
"28";2018-10-01 23:10:49;2,535
"29";2018-10-02 00:01:24;2,695
"30";2018-10-02 00:52:03;1,99
"31";2018-10-02 01:42:38;1,785
"32";2018-10-02 02:33:13;1,575
"33";2018-10-02 03:23:53;1,305
"34";2018-10-02 04:14:28;1,285
"35";2018-10-02 05:05:02;1,26
"36";2018-10-02 05:55:37;0,695
"37";2018-10-02 06:46:12;3,105
"38";2018-10-02 07:36:47;3,505
"39";2018-10-02 08:27:22;1,847
"40";2018-10-02 09:17:58;1,33
"41";2018-10-02 10:08:50;1,33
"42";2018-10-02 10:59:27;2,52
"43";2018-10-02 11:50:01;3,215
"44";2018-10-02 12:40:40;3,29
"45";2018-10-02 13:31:17;3,17
"46";2018-10-02 14:27:24;2,025
"47";2018-10-02 15:23:33;2,01
"48";2018-10-02 16:14:09;1,69
"49";2018-10-02 17:04:45;1,21
"50";2018-10-02 17:55:24;0,825
