"";"sensor_id";"lat";"lon"
"1";277;52,54;13,386
"2";283;52,517;13,425
"3";319;52,511;13,411
"4";327;52,533;13,35
"5";719;52,48;13,442
"6";781;52,569;13,401
"7";828;52,559;13,188
"8";1376;52,502;13,488
"9";1412;52,525;13,408
"10";1444;52,496;13,338
"11";2015;52,505;13,418
"12";2053;52,543;13,44
"13";2055;52,56;13,374
"14";2057;52,494;13,429
"15";2067;52,502;13,354
"16";2079;52,522;13,345
"17";2105;52,548;13,408
"18";2111;52,538;13,4
"19";2115;52,556;13,394
"20";2119;52,54;13,42
"21";2123;52,46;13,527
"22";2125;52,511;13,424
"23";2129;52,544;13,375
"24";2285;52,512;13,449
"25";2287;52,46;13,437
"26";2518;52,555;13,34
"27";2668;52,455;13,323
"28";2806;52,529;13,379
"29";2810;52,439;13,505
"30";2848;52,447;13,434
"31";2874;52,6;13,327
"32";3036;52,551;13,408
"33";3099;52,745;13,474
"34";3103;52,438;13,228
"35";3123;52,511;13,393
"36";3223;52,511;13,271
"37";3239;52,54;13,423
"38";3267;52,451;13,326
"39";3287;52,437;13,502
"40";3355;52,486;13,375
"41";3491;52,479;13,422
"42";3755;52,526;13,361
"43";3763;52,493;13,411
"44";3851;52,295;13,42
"45";3937;52,498;13,469
"46";3943;52,547;13,427
"47";4076;52,545;13,418
"48";4337;52,533;13,435
"49";4440;52,517;13,443
"50";4756;52,578;13,425
"51";4806;52,483;13,432
"52";4841;52,526;13,326
"53";4915;52,427;13,249
"54";4961;52,467;13,342
"55";5018;52,526;13,308
"56";5026;52,481;13,353
"57";5040;52,568;13,365
"58";5149;52,467;13,436
"59";5231;52,557;13,495
"60";5247;52,42;13,58
"61";5251;52,507;13,32
"62";5463;52,486;13,386
"63";5666;52,501;13,408
"64";5672;52,474;13,325
"65";5678;52,559;13,565
"66";5706;52,467;13,305
"67";5710;52,524;13,422
"68";5716;52,512;13,473
"69";6119;52,497;13,298
"70";6179;52,509;13,256
"71";6209;52,551;13,147
"72";6296;52,55;13,463
"73";6438;52,539;13,29
"74";6537;52,509;13,454
"75";6691;52,57;13,574
"76";6723;52,53;13,304
"77";6727;52,504;13,429
"78";6733;52,474;13,446
"79";6817;52,51;13,582
"80";6825;52,476;13,316
"81";6848;52,6;13,433
"82";6856;52,502;13,454
"83";6928;52,617;13,237
"84";7051;52,444;13,556
"85";7132;52,503;13,329
"86";7201;52,506;13,303
"87";7203;52,46;13,321
"88";7263;52,481;13,349
"89";7289;52,678;13,252
"90";7385;52,489;13,451
"91";7911;52,534;13,437
"92";8011;52,57;13,567
"93";8092;52,42;13,334
"94";8129;52,532;13,408
"95";8429;52,557;13,411
"96";8452;52,471;13,447
"97";8462;52,506;13,463
"98";8464;52,458;13,429
"99";8468;52,466;13,321
"100";8562;52,523;13,401
"101";8604;52,517;13,468
"102";8654;52,514;13,463
"103";8675;52,485;13,424
"104";8915;52,485;13,361
"105";8982;52,555;13,383
"106";9100;52,518;13,486
"107";9220;52,481;13,428
"108";9232;52,519;13,464
"109";9304;52,422;13,485
"110";9310;52,464;13,48
"111";9392;52,508;13,422
"112";9405;52,48;13,35
"113";9409;52,577;13,569
"114";9512;52,354;13,405
"115";9767;52,519;13,494
"116";9771;52,588;13,369
"117";9807;52,551;13,463
"118";9809;52,513;13,193
"119";10156;52,671;13,622
"120";10162;52,556;13,384
"121";10168;52,528;13,447
"122";10385;52,482;13,359
"123";10393;52,473;13,428
"124";10563;52,462;13,586
"125";10829;52,489;13,427
"126";11026;52,541;13,572
"127";11255;52,384;13,421
"128";11693;52,464;13,314
"129";11795;52,49;13,457
"130";11957;52,576;13,349
"131";11990;52,522;13,446
"132";12070;52,56;13,377
"133";12253;52,527;13,39
"134";12403;52,499;13,411
"135";12603;52,508;13,285
"136";12615;52,584;13,299
"137";12658;52,489;13,387
"138";12695;52,527;13,493
"139";12762;52,49;13,379
"140";12890;52,416;13,565
"141";12952;52,456;13,5
"142";13065;52,479;13,347
"143";13075;52,485;13,33
"144";13090;52,603;13,438
"145";13100;52,522;13,455
"146";13197;52,515;13,439
"147";13366;52,612;13,629
"148";13368;52,521;13,45
"149";13370;52,516;13,551
"150";13372;52,518;13,452
"151";13588;52,552;13,435
"152";13733;52,56;13,502
"153";13789;52,542;13,413
"154";13810;52,416;13,311
"155";13834;52,615;13,5
"156";13849;52,617;13,487
"157";13877;52,584;13,366
"158";13939;52,477;13,523
"159";13961;52,461;13,38
"160";13987;52,465;13,324
"161";13989;52,528;13,317
"162";14026;52,551;13,165
"163";14074;52,447;13,27
"164";14151;52,452;13,625
"165";14322;52,566;13,348
"166";14332;52,545;13,417
"167";14681;52,497;13,481
"168";14683;52,552;13,434
"169";14738;52,44;13,539
"170";15047;52,349;13,308
"171";15293;52,474;13,454
"172";15317;52,528;13,345
"173";15361;52,538;13,397
"174";15536;52,447;13,27
"175";15563;52,553;13,363
"176";15571;52,545;13,438
"177";15748;52,527;13,327
"178";15801;52,511;13,448
"179";15843;52,498;13,465
"180";16025;52,488;13,461
"181";16061;52,486;13,363
"182";16201;52,432;13,253
"183";16312;52,622;13,296
"184";16470;52,512;13,485
"185";16522;52,547;13,348
"186";16593;52,533;13,337
"187";16770;52,473;13,343
"188";16866;52,596;13,319
"189";16916;52,419;13,492
"190";16986;52,528;13,386
"191";17210;52,462;13,445
"192";17231;52,513;13,297
