"";"sensor_id";"lat";"lon"
"1";277;52,54;13,386
"2";283;52,517;13,425
"3";319;52,511;13,411
"4";327;52,533;13,35
"5";719;52,48;13,442
"6";781;52,569;13,401
"7";828;52,559;13,188
"8";1376;52,502;13,488
"9";1412;52,525;13,408
"10";1444;52,496;13,338
"11";1929;52,189;13,164
"12";2015;52,505;13,418
"13";2053;52,543;13,44
"14";2055;52,56;13,374
"15";2057;52,494;13,429
"16";2067;52,502;13,354
"17";2079;52,522;13,345
"18";2105;52,548;13,408
"19";2111;52,538;13,4
"20";2115;52,556;13,394
"21";2119;52,54;13,42
"22";2123;52,46;13,527
"23";2125;52,511;13,424
"24";2129;52,544;13,375
"25";2285;52,512;13,449
"26";2287;52,46;13,437
"27";2518;52,555;13,34
"28";2668;52,455;13,323
"29";2704;52,361;12,981
"30";2724;52,597;13,112
"31";2806;52,529;13,379
"32";2810;52,439;13,505
"33";2848;52,447;13,434
"34";2874;52,6;13,327
"35";3016;52,407;13,06
"36";3020;52,384;13,105
"37";3036;52,551;13,408
"38";3056;52,394;13,041
"39";3099;52,745;13,474
"40";3103;52,438;13,228
"41";3123;52,511;13,393
"42";3223;52,511;13,271
"43";3239;52,54;13,423
"44";3267;52,451;13,326
"45";3287;52,437;13,502
"46";3355;52,486;13,375
"47";3491;52,479;13,422
"48";3563;52,389;13,095
"49";3755;52,526;13,361
"50";3763;52,493;13,411
"51";3851;52,295;13,42
"52";3883;52,548;13,083
"53";3903;52,394;13,099
"54";3937;52,498;13,469
"55";3943;52,547;13,427
"56";3979;52,453;13,12
"57";4076;52,545;13,418
"58";4337;52,533;13,435
"59";4440;52,517;13,443
"60";4756;52,578;13,425
"61";4806;52,483;13,432
"62";4841;52,526;13,326
"63";4845;52,665;13,156
"64";4915;52,427;13,249
"65";4961;52,467;13,342
"66";5018;52,526;13,308
"67";5026;52,481;13,353
"68";5040;52,568;13,365
"69";5149;52,467;13,436
"70";5231;52,557;13,495
"71";5247;52,42;13,58
"72";5251;52,507;13,32
"73";5463;52,486;13,386
"74";5666;52,501;13,408
