"";"sensor_id";"lat";"lon"
"1";277;52,54;13,386
"2";283;52,517;13,425
"3";319;52,505;13,48
"4";319;52,511;13,411
"5";327;52,484;13,437
"6";327;52,533;13,35
"7";347;52,52;13,476
"8";719;52,48;13,442
"9";781;52,569;13,401
"10";828;52,559;13,188
"11";1080;52,581;13,424
"12";1376;52,502;13,488
"13";1412;52,525;13,408
"14";1444;52,496;13,338
"15";1465;52,425;13,538
"16";1673;52,523;13,444
"17";1847;52,449;13,357
"18";2015;52,505;13,418
"19";2053;52,543;13,44
"20";2055;52,56;13,374
"21";2057;52,494;13,429
"22";2067;52,502;13,354
"23";2073;52,555;13,415
"24";2079;52,522;13,345
"25";2085;52,463;13,32
"26";2105;52,548;13,408
"27";2109;52,532;13,399
"28";2111;52,538;13,4
"29";2115;52,556;13,394
"30";2117;52,51;13,452
"31";2119;52,54;13,42
"32";2123;52,46;13,527
"33";2125;52,511;13,424
"34";2127;52,51;13,416
"35";2129;52,544;13,375
"36";2285;52,512;13,449
"37";2287;52,46;13,437
"38";2412;52,534;13,422
"39";2512;52,483;13,332
"40";2518;52,555;13,34
"41";2520;52,5;13,444
"42";2528;52,5;13,334
"43";2668;52,455;13,323
"44";2806;52,529;13,379
"45";2810;52,439;13,505
"46";2848;52,447;13,434
"47";2874;52,6;13,327
"48";3036;52,551;13,408
"49";3099;52,745;13,474
"50";3103;52,438;13,228
"51";3123;52,511;13,393
"52";3223;52,511;13,271
"53";3239;52,54;13,423
"54";3267;52,451;13,326
"55";3287;52,437;13,502
"56";3355;52,486;13,375
"57";3491;52,479;13,422
"58";3571;52,532;13,541
"59";3755;52,526;13,361
"60";3763;52,493;13,411
"61";3827;52,491;13,434
"62";3851;52,295;13,42
"63";3937;52,498;13,469
"64";3943;52,547;13,427
"65";4076;52,545;13,418
"66";4337;52,533;13,435
"67";4440;52,517;13,443
"68";4706;52,514;13,387
"69";4708;52,515;13,301
"70";4756;52,578;13,425
"71";4806;52,483;13,432
"72";4841;52,526;13,326
"73";4915;52,427;13,249
"74";4961;52,467;13,342
"75";5018;52,526;13,308
