"";"sensor_id";"lat";"lon"
"1";817;51,052;6,955
"2";1062;50,933;6,961
"3";1164;50,929;6,926
"4";1168;50,928;6,943
"5";1743;50,885;6,891
"6";1837;50,796;6,771
"7";2177;50,993;6,798
"8";2434;51,022;6,764
"9";2458;50,92;6,936
"10";2502;50,918;6,922
"11";2646;50,958;6,771
"12";2776;50,901;7,035
"13";2802;51,155;6,938
"14";2860;50,923;6,703
"15";3058;50,992;6,808
"16";3081;51,046;7,009
"17";3155;50,891;7,082
"18";3278;50,94;6,888
"19";3403;50,93;6,924
"20";3581;50,998;7,139
"21";3585;50,931;6,956
"22";3595;50,708;7,084
"23";3601;50,95;6,92
"24";3603;50,975;6,937
"25";3613;50,936;6,855
"26";3663;51,042;7,065
"27";3677;50,934;6,958
"28";3698;50,918;7,092
"29";3797;51,001;6,851
"30";3873;50,873;6,691
"31";3973;50,994;7,124
"32";4049;50,894;6,888
"33";4100;50,812;7,17
"34";4106;50,817;7,156
"35";4108;51,039;7,011
"36";4112;51,042;7,055
"37";4116;50,885;7,062
"38";4120;51,044;7,075
"39";4122;51,062;6,92
"40";4126;51,039;7,061
"41";4128;51,064;6,956
"42";4130;51,058;6,925
"43";4132;51,037;7,007
"44";4138;51,033;6,995
"45";4140;51,059;6,921
"46";4142;51,052;6,957
"47";4144;51,051;6,983
"48";4148;51,032;7,081
"49";4150;51,036;7,068
"50";4154;51,041;6,997
"51";4156;51,064;7,019
"52";4160;51,082;7,021
"53";4164;51,063;7,036
"54";4166;51,103;7,15
"55";4170;51,043;7,008
"56";4202;51,039;7,006
"57";4226;51,045;7,08
"58";4290;50,907;7,151
"59";4323;51,018;6,994
"60";4373;51,099;6,814
"61";4403;50,986;6,783
"62";4494;50,834;6,901
"63";4498;50,95;6,917
"64";4762;50,739;7,123
"65";4825;50,934;6,777
"66";4833;51,064;7,029
"67";4849;50,949;6,831
"68";4881;51,069;7,016
"69";4967;50,93;6,939
"70";4975;51,032;7,011
"71";5008;51,058;6,921
"72";5042;50,927;6,857
"73";5129;50,945;6,954
"74";5169;50,991;6,708
"75";5173;50,933;6,934
"76";5175;50,933;6,934
"77";5233;50,996;7,101
"78";5245;50,727;7,079
"79";5271;50,737;7,084
"80";5273;50,957;7,011
"81";5333;50,955;7,116
"82";5337;50,955;6,93
"83";5357;51,015;7,171
"84";5403;51,054;6,948
"85";5465;50,728;7,107
"86";5507;51,046;6,771
"87";5630;50,99;7,123
"88";5644;50,957;7,011
"89";5656;50,833;6,898
"90";5724;50,891;6,908
"91";5774;51,12;6,771
"92";5845;50,778;7,094
"93";5892;51,169;6,987
"94";5898;50,956;6,963
"95";5959;50,955;7,002
"96";5987;51;6,98
"97";6019;51,122;6,839
"98";6069;50,978;7,101
"99";6245;50,958;7,012
"100";6300;51,01;6,898
"101";6324;50,948;6,956
"102";6406;51,022;6,818
"103";6420;50,959;7,012
"104";6543;51,026;6,753
"105";6653;50,943;7,034
"106";6659;50,908;6,916
"107";6755;51,149;7,013
"108";6975;50,972;7,098
"109";7340;50,944;6,932
"110";7941;50,757;7,15
"111";7951;51,019;7,073
"112";8009;51,16;6,938
"113";8056;50,819;7,161
"114";8121;51,051;6,941
"115";8153;51,062;6,991
"116";8219;51,109;7,021
"117";8230;50,908;6,975
"118";8262;50,738;6,836
"119";8323;50,801;6,772
"120";8351;50,955;7,136
"121";8514;51,024;7
"122";8544;51,053;6,993
"123";9092;50,955;6,764
"124";9117;50,993;7,127
"125";9128;50,907;6,786
"126";9136;50,72;7,097
"127";9140;50,822;7,126
"128";9158;50,788;7,044
"129";9210;50,722;7,099
"130";9216;50,986;7,141
"131";9354;51,03;6,981
"132";9418;50,803;7,132
"133";9516;50,924;6,959
"134";9530;50,805;7,126
"135";9712;50,925;6,87
"136";9981;51,112;7,029
"137";9983;50,933;6,78
"138";10094;50,83;7,103
"139";10128;50,72;7,044
"140";10132;50,925;7,08
"141";10140;50,983;7,038
"142";10170;50,922;6,988
"143";10183;50,894;6,964
"144";10265;50,933;7
"145";10661;51,034;7,006
"146";10691;50,95;6,989
"147";10693;50,943;6,925
"148";10695;50,956;6,928
"149";10801;50,851;7,102
"150";10876;50,965;6,999
"151";10989;50,933;6,92
"152";11012;50,925;6,959
"153";11100;50,723;7,079
"154";11199;51,093;6,833
"155";11279;50,928;6,96
"156";11287;50,996;7,045
"157";11292;51,028;6,952
"158";11408;50,9;6,966
"159";11431;50,939;6,781
"160";11642;50,93;6,918
"161";11669;50,905;6,958
"162";11683;50,867;6,745
"163";11709;51,035;6,972
"164";11711;51,034;6,984
"165";11713;51,039;6,998
"166";11719;51,05;6,952
"167";11837;51,019;6,765
"168";11988;50,965;7,095
"169";12066;51,005;7,109
"170";12161;50,932;6,976
"171";12167;51,182;6,869
"172";12282;51,168;6,933
"173";12306;51,146;7,007
"174";12439;50,909;6,96
"175";12445;50,984;7,022
"176";12515;50,933;6,971
"177";12812;50,932;6,934
"178";12848;50,928;7,172
"179";12865;50,883;7,09
"180";13404;51,192;7,025
"181";13453;51,18;6,938
"182";13455;50,94;6,941
"183";13724;50,914;6,757
"184";14112;50,972;7,009
"185";14181;50,936;6,764
"186";14235;50,719;7,073
"187";14732;50,961;6,83
"188";14754;50,905;6,951
"189";14878;51,026;7,036
"190";14883;50,761;7,001
"191";14945;50,915;6,9
"192";14980;50,929;6,953
"193";15256;50,721;6,912
"194";15635;50,818;6,971
"195";15681;50,966;6,977
"196";15764;50,745;7,086
"197";15799;51,197;7,011
"198";15948;50,858;6,754
"199";15964;51,108;6,945
"200";16071;51,085;6,954
"201";16203;51,042;7,081
"202";16373;50,797;6,916
"203";16468;50,902;6,955
"204";16896;50,916;6,704
"205";17073;50,845;6,914
