"";"sensor_id";"lat";"lon"
"1";817;51,052;6,955
"2";830;50,564;7,273
"3";844;51,168;6,635
"4";852;51,255;7,139
"5";854;51,274;7,119
"6";870;51,28;7,235
"7";880;51,258;7,155
"8";906;51,268;7,141
"9";908;51,192;6,787
"10";920;51,331;6,778
"11";1062;50,933;6,961
"12";1128;51,039;7,215
"13";1164;50,929;6,926
"14";1168;50,928;6,943
"15";1250;51,253;6,687
"16";1404;51,114;6,541
"17";1456;51,329;6,826
"18";1497;51,236;7,142
"19";1707;50,458;7,215
"20";1743;50,885;6,891
"21";1837;50,796;6,771
"22";1851;51,387;7,001
"23";1877;51,427;6,972
"24";1889;51,434;7,043
"25";1903;51,425;7,329
"26";1911;51,405;7,27
"27";2011;51,435;6,973
"28";2013;51,432;6,972
"29";2177;50,993;6,798
"30";2189;51,056;7,262
"31";2209;51,123;7,397
"32";2434;51,022;6,764
"33";2458;50,92;6,936
"34";2476;51,27;6,756
"35";2502;50,918;6,922
"36";2562;51,42;6,971
"37";2570;51,13;6,731
"38";2638;51,385;7,123
"39";2646;50,958;6,771
"40";2686;51,386;7,028
"41";2744;50,598;6,897
"42";2756;50,863;6,493
"43";2776;50,901;7,035
"44";2788;50,648;7,183
"45";2802;51,155;6,938
"46";2860;50,923;6,703
"47";2936;51,389;6,815
"48";2944;51,398;7,127
"49";2972;51,404;7,231
"50";3000;51,072;6,677
"51";3058;50,992;6,808
"52";3060;51,292;6,868
"53";3081;51,046;7,009
"54";3089;51,273;7,211
"55";3119;51,35;6,603
"56";3125;50,769;7,302
"57";3155;50,891;7,082
"58";3278;50,94;6,888
"59";3387;51,287;7,179
"60";3403;50,93;6,924
"61";3581;50,998;7,139
"62";3585;50,931;6,956
"63";3595;50,708;7,084
"64";3601;50,95;6,92
"65";3603;50,975;6,937
"66";3613;50,936;6,855
"67";3643;50,741;7,158
"68";3663;51,042;7,065
"69";3677;50,934;6,958
"70";3698;50,918;7,092
"71";3702;50,924;6,589
"72";3712;51,406;6,856
"73";3743;51,383;7,074
"74";3797;51,001;6,851
"75";3813;51,184;7,256
"76";3873;50,873;6,691
"77";3875;51,222;6,624
"78";3889;50,866;6,692
"79";3916;50,518;7,317
"80";3973;50,994;7,124
"81";3987;51,184;7,256
"82";4049;50,894;6,888
"83";4084;50,859;6,572
"84";4096;50,694;7,247
"85";4100;50,812;7,17
"86";4106;50,817;7,156
"87";4108;51,039;7,011
"88";4112;51,042;7,055
"89";4116;50,885;7,062
"90";4120;51,044;7,075
"91";4122;51,062;6,92
"92";4126;51,039;7,061
"93";4128;51,064;6,956
"94";4130;51,058;6,925
"95";4132;51,037;7,007
"96";4138;51,033;6,995
"97";4140;51,059;6,921
"98";4142;51,052;6,957
"99";4144;51,051;6,983
"100";4148;51,032;7,081
"101";4150;51,036;7,068
"102";4154;51,041;6,997
"103";4156;51,064;7,019
"104";4160;51,082;7,021
"105";4164;51,063;7,036
"106";4166;51,103;7,15
"107";4170;51,043;7,008
"108";4196;50,745;7,262
"109";4202;51,039;7,006
"110";4212;51,415;7,17
"111";4226;51,045;7,08
"112";4290;50,907;7,151
"113";4292;51,172;6,808
"114";4323;51,018;6,994
"115";4373;51,099;6,814
"116";4403;50,986;6,783
"117";4409;51,408;7,208
"118";4484;51,2;6,738
"119";4494;50,834;6,901
"120";4498;50,95;6,917
"121";4614;51,363;6,947
"122";4700;51,253;6,467
"123";4700;51,272;6,554
"124";4704;51,333;6,609
"125";4762;50,739;7,123
"126";4772;51,24;6,742
"127";4780;51,221;6,668
"128";4810;51,275;6,472
"129";4825;50,934;6,777
"130";4833;51,064;7,029
"131";4835;51,226;6,903
"132";4849;50,949;6,831
"133";4881;51,069;7,016
"134";4913;51,204;6,737
"135";4941;50,585;6,772
"136";4947;51,249;7,153
"137";4949;51,229;6,814
"138";4967;50,93;6,939
"139";4971;51,215;6,767
"140";4975;51,032;7,011
"141";5008;51,058;6,921
"142";5034;51,238;6,795
"143";5042;50,927;6,857
"144";5046;51,339;6,543
"145";5129;50,945;6,954
"146";5137;50,984;7,277
"147";5169;50,991;6,708
"148";5173;50,933;6,934
"149";5175;50,933;6,934
"150";5219;50,768;7,307
"151";5233;50,996;7,101
"152";5235;51,306;7,292
"153";5245;50,727;7,079
"154";5267;51,191;6,669
"155";5271;50,737;7,084
"156";5273;50,957;7,011
"157";5277;51,194;6,614
"158";5333;50,955;7,116
"159";5337;50,955;6,93
"160";5357;51,015;7,171
"161";5403;51,054;6,948
"162";5465;50,728;7,107
"163";5507;51,046;6,771
"164";5569;51,239;6,794
"165";5572;51,331;7,285
"166";5596;51,124;6,685
"167";5630;50,99;7,123
"168";5644;50,957;7,011
"169";5656;50,833;6,898
"170";5724;50,891;6,908
"171";5774;51,12;6,771
"172";5843;51,419;7,077
"173";5845;50,778;7,094
"174";5871;51,311;7,377
"175";5892;51,169;6,987
"176";5898;50,956;6,963
"177";5925;50,74;6,467
"178";5959;50,955;7,002
"179";5987;51;6,98
"180";6019;51,122;6,839
"181";6069;50,978;7,101
"182";6097;50,922;6,585
"183";6101;50,584;7,031
"184";6245;50,958;7,012
"185";6284;51,074;6,566
"186";6300;51,01;6,898
"187";6312;51,332;6,987
"188";6324;50,948;6,956
"189";6372;51,362;7,074
"190";6406;51,022;6,818
"191";6420;50,959;7,012
"192";6477;51,391;7,184
"193";6543;51,026;6,753
"194";6559;51,213;6,972
"195";6580;50,796;7,228
"196";6653;50,943;7,034
"197";6659;50,908;6,916
"198";6755;51,149;7,013
"199";6949;50,776;7,191
"200";6963;50,856;7,277
"201";6975;50,972;7,098
"202";6983;51,118;7,211
"203";6985;51,246;6,85
"204";7146;51,195;7,073
"205";7219;50,798;7,206
"206";7221;50,912;6,638
"207";7223;50,554;6,763
"208";7265;51,262;7,155
"209";7312;50,693;7,238
"210";7340;50,944;6,932
"211";7369;51,286;7,281
"212";7398;50,7;7,185
"213";7458;50,767;7,184
"214";7521;51,236;6,781
"215";7783;51,401;6,779
"216";7845;51,424;6,788
"217";7863;51,435;6,761
"218";7893;51,396;6,656
"219";7909;51,201;6,786
"220";7937;50,809;6,644
"221";7941;50,757;7,15
"222";7951;51,019;7,073
"223";8009;51,16;6,938
"224";8024;51,218;6,467
"225";8036;51,36;7,341
"226";8056;50,819;7,161
"227";8072;51,232;6,853
"228";8121;51,051;6,941
"229";8153;51,062;6,991
"230";8197;51,435;6,772
"231";8219;51,109;7,021
"232";8230;50,908;6,975
