"";"sensor_id";"lat";"lon"
"1";817;51,052;6,955
"2";1062;50,933;6,961
"3";1164;50,929;6,926
"4";1168;50,928;6,943
"5";1743;50,885;6,891
"6";1837;50,796;6,771
"7";2177;50,993;6,798
"8";2434;51,022;6,764
"9";2458;50,92;6,936
"10";2502;50,918;6,922
"11";2646;50,958;6,771
"12";2776;50,901;7,035
"13";2802;51,155;6,938
"14";2860;50,923;6,703
"15";3058;50,992;6,808
"16";3081;51,046;7,009
"17";3155;50,891;7,082
"18";3278;50,94;6,888
"19";3403;50,93;6,924
"20";3581;50,998;7,139
"21";3585;50,931;6,956
"22";3595;50,708;7,084
"23";3601;50,95;6,92
"24";3603;50,975;6,937
"25";3613;50,936;6,855
"26";3663;51,042;7,065
"27";3677;50,934;6,958
"28";3698;50,918;7,092
"29";3797;51,001;6,851
"30";3873;50,873;6,691
"31";3973;50,994;7,124
"32";4049;50,894;6,888
"33";4100;50,812;7,17
"34";4106;50,817;7,156
"35";4108;51,039;7,011
"36";4110;51,065;7,039
"37";4112;51,042;7,055
"38";4116;50,885;7,062
"39";4120;51,044;7,075
"40";4122;51,062;6,92
"41";4126;51,039;7,061
"42";4128;51,064;6,956
"43";4130;51,058;6,925
"44";4132;51,037;7,007
"45";4138;51,033;6,995
"46";4140;51,059;6,921
"47";4142;51,052;6,957
"48";4144;51,051;6,983
"49";4148;51,032;7,081
"50";4150;51,036;7,068
"51";4154;51,041;6,997
"52";4156;51,064;7,019
"53";4160;51,082;7,021
"54";4164;51,063;7,036
"55";4166;51,103;7,15
"56";4170;51,043;7,008
"57";4202;51,039;7,006
"58";4226;51,045;7,08
"59";4290;50,907;7,151
"60";4323;51,018;6,994
"61";4373;51,099;6,814
"62";4403;50,986;6,783
"63";4494;50,834;6,901
"64";4498;50,95;6,917
"65";4762;50,739;7,123
"66";4825;50,934;6,777
"67";4833;51,064;7,029
"68";4849;50,949;6,831
"69";4881;51,069;7,016
"70";4967;50,93;6,939
"71";4975;51,032;7,011
"72";5008;51,058;6,921
"73";5042;50,927;6,857
"74";5129;50,945;6,954
"75";5169;50,991;6,708
"76";5173;50,933;6,934
"77";5175;50,933;6,934
"78";5233;50,996;7,101
"79";5245;50,727;7,079
"80";5271;50,737;7,084
"81";5273;50,957;7,011
"82";5333;50,955;7,116
"83";5337;50,955;6,93
"84";5357;51,015;7,171
"85";5403;51,054;6,948
"86";5465;50,728;7,107
"87";5507;51,046;6,771
"88";5630;50,99;7,123
"89";5644;50,957;7,011
"90";5656;50,833;6,898
"91";5724;50,891;6,908
"92";5774;51,12;6,771
"93";5845;50,778;7,094
"94";5892;51,169;6,987
"95";5898;50,956;6,963
"96";5959;50,955;7,002
"97";5987;51;6,98
"98";6019;51,122;6,839
"99";6069;50,978;7,101
"100";6245;50,958;7,012
"101";6300;51,01;6,898
"102";6324;50,948;6,956
"103";6402;50,948;6,955
"104";6406;51,022;6,818
"105";6420;50,959;7,012
"106";6543;51,026;6,753
"107";6653;50,943;7,034
"108";6659;50,908;6,916
"109";6755;51,149;7,013
"110";6975;50,972;7,098
"111";7340;50,944;6,932
"112";7941;50,757;7,15
"113";7951;51,019;7,073
"114";8009;51,16;6,938
"115";8056;50,819;7,161
"116";8121;51,051;6,941
"117";8153;51,062;6,991
"118";8219;51,109;7,021
"119";8230;50,908;6,975
"120";8262;50,738;6,836
"121";8323;50,801;6,772
"122";8351;50,955;7,136
"123";8514;51,024;7
"124";8544;51,053;6,993
"125";9092;50,955;6,764
"126";9117;50,993;7,127
"127";9128;50,907;6,786
"128";9136;50,72;7,097
"129";9140;50,822;7,126
"130";9146;50,968;6,842
"131";9158;50,788;7,044
"132";9210;50,722;7,099
"133";9216;50,986;7,141
"134";9354;51,03;6,981
"135";9418;50,803;7,132
"136";9516;50,924;6,959
"137";9530;50,805;7,126
"138";9712;50,925;6,87
"139";9981;51,112;7,029
"140";9983;50,933;6,78
"141";10094;50,83;7,103
"142";10128;50,72;7,044
"143";10132;50,925;7,08
"144";10140;50,983;7,038
"145";10170;50,922;6,988
"146";10181;50,739;7,091
"147";10183;50,894;6,964
"148";10265;50,933;7
"149";10661;51,034;7,006
"150";10691;50,95;6,989
"151";10693;50,943;6,925
"152";10695;50,956;6,928
"153";10801;50,851;7,102
"154";10876;50,965;6,999
"155";10989;50,933;6,92
"156";11012;50,925;6,959
"157";11100;50,723;7,079
"158";11199;51,093;6,833
"159";11279;50,928;6,96
"160";11287;50,996;7,045
"161";11292;51,028;6,952
"162";11408;50,9;6,966
"163";11431;50,939;6,781
"164";11642;50,93;6,918
"165";11669;50,905;6,958
"166";11683;50,867;6,745
"167";11709;51,035;6,972
"168";11711;51,034;6,984
"169";11713;51,039;6,998
"170";11719;51,05;6,952
"171";11837;51,019;6,765
"172";11988;50,965;7,095
"173";12066;51,005;7,109
"174";12161;50,932;6,976
"175";12167;51,182;6,869
"176";12282;51,168;6,933
"177";12306;51,146;7,007
"178";12316;50,866;6,744
"179";12439;50,909;6,96
"180";12445;50,984;7,022
"181";12515;50,933;6,971
"182";12812;50,932;6,934
"183";12848;50,928;7,172
"184";12865;50,883;7,09
"185";13384;50,932;6,935
"186";13404;51,192;7,025
"187";13453;51,18;6,938
"188";13455;50,94;6,941
"189";13724;50,914;6,757
"190";14112;50,972;7,009
"191";14181;50,936;6,764
"192";14235;50,719;7,073
"193";14712;50,795;7,114
"194";14732;50,961;6,83
"195";14754;50,905;6,951
"196";14878;51,026;7,036
"197";14883;50,761;7,001
"198";14935;50,938;6,977
"199";14945;50,915;6,9
"200";14980;50,929;6,953
"201";15256;50,721;6,912
"202";15635;50,818;6,971
"203";15681;50,966;6,977
"204";15764;50,745;7,086
"205";15799;51,197;7,011
"206";15948;50,858;6,754
"207";15964;51,108;6,945
"208";16071;51,085;6,954
"209";16203;51,042;7,081
"210";16373;50,797;6,916
"211";16468;50,902;6,955
"212";16896;50,916;6,704
"213";17073;50,845;6,914
"214";17197;51,01;6,813
"215";17332;50,947;7,084
"216";17357;50,743;7,093
