"";"sensor_id";"lat";"lon"
"1";251;50,961;7
"2";817;51,052;6,955
"3";868;51,17;7,084
"4";1062;50,933;6,961
"5";1164;50,929;6,926
"6";1168;50,928;6,943
"7";1194;51,17;7,084
"8";1194;51,162;7,078
"9";1547;50,724;7,107
"10";1743;50,885;6,891
"11";1837;50,796;6,771
"12";2177;50,993;6,798
"13";2434;51,022;6,764
"14";2458;50,92;6,936
"15";2502;50,918;6,922
"16";2646;50,958;6,771
"17";2776;50,901;7,035
"18";2800;50,897;6,9
"19";2802;51,155;6,938
"20";2844;50,825;7,123
"21";2860;50,923;6,703
"22";2900;50,969;6,955
"23";3058;50,992;6,808
"24";3081;51,046;7,009
"25";3155;50,891;7,082
"26";3278;50,94;6,888
"27";3387;50,836;6,88
"28";3403;50,93;6,924
"29";3581;50,998;7,139
"30";3585;50,931;6,956
"31";3595;50,708;7,084
"32";3601;50,95;6,92
"33";3603;50,975;6,937
"34";3613;50,936;6,855
"35";3621;50,95;6,923
"36";3663;51,042;7,065
"37";3669;51,05;6,969
"38";3669;51,038;7,005
"39";3677;50,934;6,958
"40";3685;50,965;6,937
"41";3687;50,986;7,067
"42";3698;50,918;7,092
"43";3797;51,001;6,851
"44";3873;50,873;6,691
"45";3973;50,994;7,124
"46";4007;50,797;7,131
"47";4049;50,894;6,888
"48";4100;50,812;7,17
"49";4106;50,817;7,156
"50";4108;51,039;7,011
"51";4110;51,065;7,039
"52";4112;51,042;7,055
"53";4114;51,045;7,058
"54";4116;50,885;7,062
"55";4120;51,044;7,075
"56";4122;51,062;6,92
"57";4126;51,039;7,061
"58";4128;51,064;6,956
"59";4130;51,058;6,925
"60";4132;51,037;7,007
"61";4134;51,093;7,057
"62";4138;51,033;6,995
"63";4140;51,059;6,921
"64";4142;51,052;6,957
"65";4144;51,051;6,983
"66";4148;51,032;7,081
"67";4150;51,036;7,068
"68";4152;51,068;7,022
"69";4154;51,041;6,997
"70";4156;51,064;7,019
"71";4160;51,082;7,021
"72";4164;51,063;7,036
"73";4166;51,103;7,15
"74";4168;51,025;6,999
"75";4170;51,043;7,008
"76";4202;51,039;7,006
"77";4226;51,045;7,08
"78";4290;50,907;7,151
"79";4323;51,018;6,994
"80";4373;51,099;6,814
"81";4403;50,986;6,783
"82";4494;50,834;6,901
"83";4498;50,95;6,917
"84";4682;51,111;6,961
"85";4762;50,739;7,123
"86";4825;50,934;6,777
"87";4833;51,064;7,029
"88";4849;50,949;6,831
"89";4881;51,069;7,016
"90";4967;50,93;6,939
"91";4969;50,984;6,995
"92";4975;51,032;7,011
"93";5008;51,058;6,921
"94";5042;50,927;6,857
"95";5129;50,945;6,954
"96";5155;50,922;6,953
"97";5165;51,174;6,831
"98";5169;50,991;6,708
"99";5173;50,933;6,934
"100";5175;50,933;6,934
"101";5197;50,923;7,077
"102";5233;50,996;7,101
"103";5245;50,727;7,079
"104";5271;50,737;7,084
"105";5273;50,957;7,011
"106";5317;50,86;6,749
"107";5333;50,955;7,116
"108";5337;50,955;6,93
"109";5357;51,015;7,171
"110";5403;51,054;6,948
"111";5465;50,728;7,107
"112";5507;51,046;6,771
"113";5551;51,021;6,753
"114";5630;50,99;7,123
"115";5644;50,957;7,011
"116";5656;50,833;6,898
"117";5696;50,966;7,211
"118";5724;50,891;6,908
"119";5774;51,12;6,771
"120";5803;50,966;7,002
"121";5845;50,778;7,094
"122";5892;51,169;6,987
"123";5898;50,956;6,963
"124";5943;51,063;7,036
"125";5959;50,955;7,002
"126";5987;51;6,98
"127";6019;51,122;6,839
"128";6069;50,978;7,101
"129";6245;50,958;7,012
"130";6300;51,01;6,898
"131";6316;50,891;7,181
"132";6324;50,948;6,956
"133";6402;50,948;6,955
"134";6406;51,022;6,818
"135";6420;50,959;7,012
"136";6543;51,026;6,753
"137";6653;50,943;7,034
"138";6659;50,908;6,916
"139";6755;51,149;7,013
"140";6975;50,972;7,098
"141";7287;50,732;7,069
"142";7322;50,938;7,064
"143";7340;50,937;6,933
