"";"sensor_id";"lat";"lon"
"1";345;50,103;8,549
"2";635;50,206;8,197
"3";691;50,085;8,576
"4";717;50,299;8,265
"5";761;50,128;8,728
"6";803;49,977;8,24
"7";926;49,913;8,24
"8";964;50;8,433
"9";996;50,126;8,698
"10";1072;50,087;8,634
"11";1120;50,402;8,816
"12";1262;50,113;8,705
"13";1348;49,88;8,666
"14";1493;50,06;8,26
"15";1525;49,983;8,241
"16";1535;50,074;8,228
"17";1569;50,12;8,699
"18";1575;50,161;8,664
"19";1695;49,87;8,649
"20";1777;50,082;8,222
"21";2139;50,087;8,279
"22";2143;49,881;8,48
"23";2161;50,226;8,682
"24";2179;50,403;8,248
"25";2185;50,089;9,068
"26";2514;50,005;8,812
"27";2550;49,96;8,324
"28";2572;49,863;8,651
"29";2604;50,298;8,52
"30";2792;49,651;8,575
"31";2850;49,976;8,343
"32";2856;50,12;8,667
"33";2886;50,237;8,606
"34";2994;49,9;8,203
"35";3111;50,107;8,684
"36";3177;50,109;8,63
"37";3217;49,702;8,618
"38";3225;49,883;8,665
"39";3241;50,103;8,663
"40";3271;50,021;8,424
"41";3311;49,648;8,571
"42";3319;49,869;8,668
"43";3401;49,756;8,61
"44";3407;50,241;8,406
"45";3423;50,107;8,584
"46";3493;49,871;8,651
"47";3569;50,576;8,661
"48";3625;50,534;8,315
"49";3689;50,239;8,595
"50";3714;49,988;8,674
"51";3731;50,098;8,57
"52";3747;50,057;8,689
"53";3777;50,076;8,659
"54";3861;50,13;8,708
"55";3901;49,908;9,157
"56";4080;50,075;8,436
"57";4188;49,873;8,649
"58";4200;50,398;8,813
"59";4305;49,926;8,608
"60";4422;49,815;8,65
"61";4434;50,042;8,246
"62";4462;50,2;8,219
"63";4585;50,107;8,642
"64";4595;49,978;8,742
"65";4626;50,178;8,886
"66";4808;49,931;8,606
"67";4873;49,969;9,069
"68";4895;49,947;8,472
"69";4909;49,869;8,66
"70";4937;49,865;8,675
"71";4984;49,902;8,599
"72";4996;49,878;8,661
"73";5032;49,889;8,942
"74";5347;49,86;8,645
"75";5412;50,057;8,678
"76";5458;49,992;8,422
"77";5493;49,865;8,657
"78";5497;50,12;8,701
"79";5688;50,432;8,681
"80";5722;49,723;8,612
"81";5799;49,899;8,671
"82";5827;50,241;8,444
"83";5971;49,944;8,455
"84";5979;50,308;8,259
"85";6013;49,928;8,409
"86";6015;49,96;8,455
"87";6049;50,017;8,779
"88";6103;49,919;9,077
"89";6157;49,752;8,484
"90";6243;49,939;8,45
"91";6288;49,88;8,836
"92";6326;50,182;8,624
"93";6362;49,932;8,494
"94";6364;49,95;8,454
"95";6505;49,859;8,767
"96";6626;49,829;8,748
"97";6665;49,906;8,598
"98";6699;50,147;8,673
"99";6737;49,903;8,596
"100";6761;50,133;8,713
"101";6864;49,679;8,388
"102";6926;50,076;8,867
"103";6951;50,139;8,502
"104";6971;50,117;8,496
"105";7122;50,147;8,429
"106";7156;49,862;8,757
"107";7493;49,902;8,59
"108";7541;50,007;8,23
"109";7571;49,927;8,547
"110";7953;49,867;8,251
"111";8013;50,5;8,66
"112";8123;50,013;8,356
"113";8191;49,764;8,651
"114";8228;50,118;8,714
"115";8247;49,843;8,831
"116";8260;49,986;8,273
"117";8425;50,006;8,285
"118";8486;50,535;8,709
"119";8496;50,074;8,488
"120";8546;50,086;8,233
"121";8592;49,983;8,398
"122";8624;50,223;8,609
"123";8956;50,053;8,23
"124";9028;50,186;8,736
"125";9120;49,611;8,726
"126";9174;50,211;8,261
"127";9268;50,121;8,605
"128";9469;50,135;8,751
"129";9518;50,22;8,782
"130";9549;50,393;8,8
"131";9741;50,207;8,739
"132";9846;50,084;8,795
"133";10088;49,87;8,664
"134";10189;49,91;9,06
"135";10379;50,005;8,225
"136";10438;49,801;8,341
"137";10643;50,132;8,626
"138";10701;50,003;8,246
"139";10920;50,58;8,817
"140";10973;49,808;9,163
"141";11054;50,106;8,702
"142";11082;50,187;8,467
"143";11165;50,232;8,768
"144";11245;49,857;8,646
"145";11281;49,927;8,869
"146";11524;49,649;8,33
"147";11533;50,588;8,462
"148";11644;49,735;8,739
"149";11733;49,858;8,563
"150";11799;50,118;8,649
"151";11811;50,183;9,162
"152";11821;50,363;8,982
"153";11827;49,645;8,567
"154";11893;49,695;8,662
"155";11976;50,14;8,644
"156";12284;49,953;8,462
"157";12310;49,83;8,493
"158";12318;50,117;8,847
"159";12431;49,98;8,291
"160";12556;49,932;8,309
"161";12583;50,079;8,242
"162";12593;50,207;9,182
"163";12645;49,863;8,622
"164";12715;49,937;9,123
"165";12867;49,978;8,294
"166";12906;50,498;8,474
"167";12962;49,881;8,666
"168";12966;49,996;8,238
"169";12980;50,469;8,48
"170";13085;49,881;8,664
"171";13102;50,163;8,625
"172";13224;50,147;8,435
"173";13257;50,083;8,444
"174";13279;49,814;8,651
"175";13347;49,935;9,138
"176";13415;50,149;8,681
"177";13656;50,105;8,701
"178";13668;49,864;8,654
"179";13696;50,081;8,225
"180";13728;50,125;8,766
"181";13845;50,18;9,116
"182";13969;49,983;8,404
"183";13979;49,863;8,639
"184";13993;50,432;8,68
"185";14078;50,15;8,568
"186";14169;50,525;8,675
"187";14211;49,872;8,635
"188";14229;49,685;8,676
"189";14233;50,2;8,6
"190";14348;50,376;8,741
"191";14381;50,329;8,72
"192";14785;49,906;9,057
"193";14973;49,925;8,856
"194";15018;50,343;8,746
"195";15061;50,306;8,566
"196";15077;49,76;8,646
"197";15138;50,287;8,937
"198";15155;50,058;8,306
"199";15181;50,602;8,692
"200";15268;50,134;8,715
"201";15299;49,954;8,643
"202";15416;50,343;8,612
"203";15447;49,996;8,184
"204";15816;50,07;8,231
"205";16027;50,159;8,617
"206";16123;49,869;8,661
"207";16123;49,876;8,652
"208";16163;50,076;8,227
"209";16165;50,079;8,237
"210";16173;50,118;8,686
"211";16268;50,433;8,495
"212";16272;50,043;9,007
"213";16326;49,926;9,011
"214";16395;50,106;8,653
"215";16403;50,158;8,641
"216";16618;49,873;8,646
"217";16687;50,242;8,771
"218";16717;50,088;8,698
"219";16766;49,925;8,403
"220";16780;50,057;8,247
"221";16961;49,883;8,681
"222";17087;50,009;9,063
"223";17163;49,873;8,677
"224";17171;50,151;8,757
"225";17189;49,88;8,272
"226";17228;50,364;8,959
