"";"sensor_id";"lat";"lon"
"1";345;50,103;8,549
"2";691;50,085;8,576
"3";761;50,128;8,728
"4";996;50,126;8,698
"5";1072;50,087;8,634
"6";1262;50,113;8,705
"7";1348;49,88;8,666
"8";1569;50,12;8,699
"9";1575;50,161;8,664
"10";1695;49,87;8,649
"11";2161;50,226;8,682
"12";2514;50,005;8,812
"13";2572;49,863;8,651
"14";2604;50,298;8,52
"15";2856;50,12;8,667
"16";2886;50,237;8,606
"17";3111;50,107;8,684
"18";3177;50,109;8,63
"19";3225;49,883;8,665
"20";3241;50,103;8,663
"21";3319;49,869;8,668
"22";3423;50,107;8,584
"23";3493;49,871;8,651
"24";3689;50,239;8,595
"25";3714;49,988;8,674
"26";3731;50,098;8,57
"27";3747;50,057;8,689
"28";3777;50,076;8,659
"29";3861;50,13;8,708
"30";4080;50,075;8,436
"31";4188;49,873;8,649
"32";4305;49,926;8,608
"33";4585;50,107;8,642
"34";4595;49,978;8,742
"35";4626;50,178;8,886
"36";4808;49,931;8,606
"37";4895;49,947;8,472
"38";4909;49,869;8,66
"39";4937;49,865;8,675
"40";4984;49,902;8,599
"41";4996;49,878;8,661
"42";5347;49,86;8,645
"43";5412;50,057;8,678
"44";5493;49,865;8,657
"45";5497;50,12;8,701
"46";5799;49,899;8,671
"47";6049;50,017;8,779
"48";6326;50,182;8,624
"49";6362;49,932;8,494
"50";6505;49,859;8,767
"51";6665;49,906;8,598
"52";6699;50,147;8,673
"53";6737;49,903;8,596
"54";6761;50,133;8,713
"55";6926;50,076;8,867
"56";6951;50,139;8,502
"57";6971;50,117;8,496
"58";7122;50,147;8,429
"59";7156;49,862;8,757
"60";7493;49,902;8,59
"61";7571;49,927;8,547
"62";8228;50,118;8,714
"63";8496;50,074;8,488
"64";8624;50,223;8,609
"65";9028;50,186;8,736
"66";9268;50,121;8,605
"67";9469;50,135;8,751
"68";9518;50,22;8,782
"69";9741;50,207;8,739
"70";9846;50,084;8,795
"71";10088;49,87;8,664
"72";10643;50,132;8,626
"73";11054;50,106;8,702
"74";11082;50,187;8,467
"75";11165;50,232;8,768
"76";11245;49,857;8,646
"77";11281;49,927;8,869
"78";11799;50,118;8,649
"79";11976;50,14;8,644
"80";12318;50,117;8,847
"81";12645;49,863;8,622
"82";12962;49,881;8,666
"83";13085;49,881;8,664
"84";13102;50,163;8,625
"85";13224;50,147;8,435
"86";13257;50,083;8,444
"87";13415;50,149;8,681
"88";13656;50,105;8,701
"89";13668;49,864;8,654
"90";13728;50,125;8,766
"91";13979;49,863;8,639
"92";14078;50,15;8,568
"93";14211;49,872;8,635
"94";14233;50,2;8,6
"95";14348;50,376;8,741
"96";14381;50,329;8,72
"97";14973;49,925;8,856
"98";15018;50,343;8,746
"99";15061;50,306;8,566
"100";15268;50,134;8,715
"101";15299;49,954;8,643
"102";15416;50,343;8,612
"103";16027;50,159;8,617
"104";16123;49,869;8,661
"105";16123;49,876;8,652
"106";16173;50,118;8,686
"107";16395;50,106;8,653
"108";16403;50,158;8,641
"109";16618;49,873;8,646
"110";16687;50,242;8,771
"111";16717;50,088;8,698
"112";16961;49,883;8,681
"113";17163;49,873;8,677
"114";17171;50,151;8,757
"115";17340;49,93;8,66
