"";"sensor_id";"lat";"lon"
"1";345;50,103;8,549
"2";581;50,074;8,436
"3";691;50,085;8,576
"4";761;50,128;8,728
"5";996;50,126;8,698
"6";1072;50,087;8,634
"7";1262;50,113;8,705
"8";1280;49,871;8,655
"9";1348;49,88;8,666
"10";1388;49,88;8,649
"11";1569;50,12;8,699
"12";1575;50,161;8,664
"13";1695;49,87;8,649
"14";2161;50,226;8,682
"15";2514;50,005;8,812
"16";2572;49,863;8,651
"17";2604;50,298;8,52
"18";2818;50,124;8,598
"19";2842;50,179;8,64
"20";2856;50,12;8,667
"21";2886;50,237;8,606
"22";3111;50,107;8,684
"23";3177;50,109;8,63
"24";3225;49,883;8,665
"25";3241;50,103;8,663
"26";3269;49,91;8,648
"27";3319;49,869;8,668
"28";3423;50,107;8,584
"29";3493;49,871;8,651
"30";3575;49,957;8,46
"31";3689;50,239;8,595
"32";3714;49,988;8,674
"33";3731;50,098;8,57
"34";3747;50,057;8,689
"35";3777;50,076;8,659
"36";3861;50,13;8,708
"37";3933;50,061;8,524
"38";3945;50,178;8,627
"39";4080;50,075;8,436
"40";4188;49,873;8,649
"41";4305;49,926;8,608
"42";4585;50,107;8,642
"43";4595;49,978;8,742
"44";4626;50,178;8,886
"45";4808;49,931;8,606
"46";4895;49,947;8,472
"47";4909;49,869;8,66
"48";4937;49,865;8,675
"49";4984;49,902;8,599
"50";4996;49,878;8,661
"51";5065;50,13;8,695
"52";5347;49,86;8,645
"53";5412;50,057;8,678
"54";5493;49,865;8,657
"55";5497;50,12;8,701
"56";5515;49,869;8,656
"57";5575;50,134;8,627
"58";5799;49,899;8,671
"59";6049;50,017;8,779
"60";6326;50,182;8,624
"61";6362;49,932;8,494
"62";6505;49,859;8,767
"63";6665;49,906;8,598
"64";6699;50,147;8,673
"65";6737;49,903;8,596
"66";6761;50,133;8,713
"67";6795;50,159;8,752
"68";6926;50,076;8,867
"69";6951;50,139;8,502
"70";6971;50,117;8,496
"71";6995;50,276;8,543
"72";7011;50,088;8,802
"73";7098;50,115;8,673
"74";7122;50,147;8,429
"75";7156;49,862;8,757
"76";7493;49,902;8,59
"77";7535;49,931;8,597
"78";7571;49,927;8,547
"79";8193;50,125;8,789
"80";8228;50,118;8,714
"81";8444;50,114;8,635
"82";8496;50,074;8,488
"83";8624;50,223;8,609
"84";8904;49,891;8,829
"85";9028;50,186;8,736
"86";9268;50,121;8,605
"87";9469;50,135;8,751
"88";9518;50,22;8,782
"89";9741;50,207;8,739
"90";9846;50,084;8,795
"91";10088;49,87;8,664
"92";10643;50,132;8,626
"93";10995;50,118;8,648
"94";11054;50,106;8,702
"95";11082;50,187;8,467
"96";11165;50,232;8,768
"97";11245;49,857;8,646
"98";11281;49,927;8,869
"99";11799;50,118;8,649
"100";11976;50,14;8,644
"101";12003;49,879;8,666
"102";12318;50,117;8,847
"103";12645;49,863;8,622
"104";12954;50,145;8,691
"105";12962;49,881;8,666
"106";13085;49,881;8,664
"107";13102;50,163;8,625
"108";13224;50,147;8,435
"109";13257;50,083;8,444
"110";13415;50,149;8,681
"111";13656;50,105;8,701
"112";13668;49,864;8,654
"113";13728;50,125;8,766
"114";13979;49,863;8,639
"115";14078;50,15;8,568
"116";14211;49,872;8,635
"117";14233;50,2;8,6
"118";14348;50,376;8,741
"119";14381;50,329;8,72
"120";14973;49,925;8,856
"121";15018;50,343;8,746
"122";15061;50,306;8,566
"123";15268;50,134;8,715
"124";15299;49,954;8,643
"125";15416;50,343;8,612
"126";16027;50,159;8,617
"127";16123;49,869;8,661
"128";16123;49,876;8,652
"129";16173;50,118;8,686
"130";16395;50,106;8,653
"131";16403;50,158;8,641
"132";16618;49,873;8,646
"133";16687;50,242;8,771
"134";16717;50,088;8,698
"135";16961;49,883;8,681
"136";17163;49,873;8,677
"137";17171;50,151;8,757
"138";17287;49,929;8,651
"139";17340;49,93;8,66
"140";17416;50,135;8,528
"141";17470;50,105;8,693
"142";17866;49,933;8,65
"143";18132;50,12;8,701
"144";18814;50,125;8,637
"145";19074;50,085;8,647
