"";"sensor_id";"lat";"lon"
"1";317;53,448;10,227
"2";413;53,55;9,944
"3";591;53,607;10,047
"4";811;53,331;9,886
"5";836;53,55;9,933
"6";930;53,545;9,91
"7";938;53,584;9,969
"8";980;53,515;9,993
"9";1004;53,481;10,174
"10";1070;53,463;9,972
"11";1088;53,556;9,991
"12";1104;53,494;10,02
"13";1134;53,55;10,048
"14";1523;53,658;10,118
"15";1573;53,565;9,965
"16";1577;53,607;10,004
"17";1637;53,52;10,048
"18";1639;53,552;10,08
"19";1682;53,596;10,059
"20";1697;53,612;9,906
"21";2406;53,544;9,998
"22";2448;53,556;9,946
"23";2470;53,557;9,94
"24";2522;53,331;9,86
"25";2548;53,521;10,248
"26";2554;53,558;10,062
"27";2556;53,564;9,927
"28";2558;53,488;10,006
"29";2560;53,547;9,967
"30";2568;53,685;10,033
"31";2660;53,519;9,984
"32";3022;53,584;9,938
"33";3274;53,673;10,064
"34";3297;53,572;10,174
"35";3411;53,586;10,014
"36";3497;53,577;9,955
"37";3503;53,49;10,175
"38";3539;53,562;9,963
"39";3553;53,557;10,007
"40";3629;53,626;10,012
"41";3673;53,556;9,936
"42";3825;53,633;10,07
"43";3881;53,481;10,237
"44";3907;53,516;9,996
"45";3997;53,556;9,914
"46";3999;53,603;10,113
"47";4029;53,442;10,004
"48";4074;53,522;9,806
"49";4272;53,658;9,797
"50";4294;53,633;10,101
"51";4307;53,449;9,984
"52";4309;53,576;9,981
"53";4317;53,575;9,933
"54";4377;53,685;9,993
"55";4385;53,54;10,042
"56";4387;53,584;9,818
"57";4672;53,552;9,943
"58";4724;53,543;10,226
"59";4732;53,668;10,007
"60";4736;53,567;9,905
"61";4748;53,582;9,962
"62";4764;53,582;9,946
"63";4766;53,576;9,745
"64";4853;53,488;10,211
"65";4921;53,623;10,106
"66";4945;53,58;9,963
"67";4992;53,524;10,166
"68";5153;53,583;10,085
"69";5279;53,588;10,01
"70";5383;53,448;10,077
"71";5391;53,624;9,786
"72";5407;53,582;9,946
"73";5410;53,493;9,992
"74";5452;53,577;9,822
"75";5491;53,541;10,224
"76";5602;53,595;10,082
"77";5612;53,581;9,956
"78";5742;53,501;10,019
"79";5791;53,481;10,006
"80";5963;53,562;9,907
"81";5989;53,545;9,977
"82";6057;53,494;9,928
"83";6213;53,587;9,955
"84";6253;53,485;10,018
"85";6263;53,576;10,048
"86";6310;53,658;10,068
"87";6360;53,479;10,003
"88";6436;53,551;9,918
"89";6574;53,518;10,249
"90";6669;53,495;9,994
"91";6683;53,558;10,012
"92";6729;53,379;10,022
"93";6830;53,517;9,985
"94";7029;53,5;10,176
"95";7160;53,576;9,978
"96";7205;53,48;10,003
"97";7217;53,58;10,095
"98";7308;53,33;9,875
"99";7326;53,69;9,993
"100";7354;53,637;10,095
"101";7414;53,511;10,17
"102";7563;53,586;10,039
"103";7861;53,626;9,835
"104";8100;53,47;9,832
"105";8133;53,65;9,915
"106";8137;53,631;9,858
"107";8151;53,623;9,959
"108";8345;53,656;10,096
"109";8409;53,671;10,08
"110";8548;53,555;10,021
"111";8610;53,649;10,098
"112";8677;53,628;10,015
"113";9104;53,547;9,981
"114";9115;53,653;10,168
"115";9180;53,488;10,227
"116";9262;53,569;9,885
"117";9270;53,459;9,94
"118";9426;53,556;9,939
"119";9964;53,553;9,963
"120";9972;53,561;10,062
"121";10069;53,72;10,013
"122";10106;53,582;9,964
"123";10335;53,548;9,931
"124";10407;53,453;10,229
"125";10621;53,549;9,922
"126";11217;53,583;10,095
"127";11220;53,546;10,103
"128";11512;53,555;10,042
"129";12269;53,63;9,952
"130";12324;53,582;10,011
"131";12491;53,658;10,102
"132";12544;53,58;9,961
"133";12597;53,589;9,956
"134";12737;53,584;10,054
"135";12745;53,686;10,03
"136";12818;53,473;9,893
"137";12880;53,787;9,995
"138";12888;53,582;9,941
"139";12894;53,69;9,796
"140";13069;53,55;9,926
"141";13571;53,485;10,216
"142";13683;53,552;9,908
"143";13698;53,641;9,956
"144";13779;53,559;9,95
"145";13805;53,607;9,872
"146";13841;53,564;9,942
"147";13855;53,609;9,957
"148";13999;53,573;10,055
"149";14050;53,566;10,043
"150";14123;53,539;10,158
"151";14139;53,515;9,988
"152";14342;53,595;9,96
"153";14665;53,574;10,041
"154";14736;53,59;10,063
"155";14748;53,573;9,976
"156";14766;53,557;9,97
"157";14892;53,627;9,906
"158";14961;53,574;9,962
"159";15002;53,59;10,02
"160";15098;53,639;9,942
"161";15102;53,585;9,998
"162";15136;53,612;9,901
"163";15352;53,568;10,056
"164";15402;53,478;10,17
"165";15433;53,577;10,013
"166";15451;53,594;9,938
"167";15486;53,698;10,078
"168";15569;53,556;10,01
"169";15579;53,56;10,097
"170";15601;53,467;9,957
"171";15637;53,584;10,019
"172";15774;53,558;9,97
"173";15893;53,329;9,876
"174";15968;53,472;9,795
"175";15988;53,547;9,979
"176";16015;53,592;10,184
"177";16021;53,578;9,934
"178";16067;53,545;9,901
"179";16119;53,547;10,111
"180";16171;53,596;10,165
"181";16183;53,542;10,001
"182";16193;53,581;10,08
"183";16286;53,569;10,017
"184";16292;53,566;9,982
"185";16387;53,447;9,989
"186";16432;53,579;10,017
"187";16452;53,564;9,98
"188";16559;53,574;9,959
"189";16788;53,514;9,987
"190";16990;53,627;9,968
"191";17141;53,556;9,945
"192";17185;53,563;10,077
"193";17201;53,588;10,176
