"";"sensor_id";"lat";"lon"
"1";239;53,591;10,004
"2";317;53,448;10,227
"3";413;53,55;9,944
"4";543;53,558;9,97
"5";591;53,607;10,047
"6";811;53,331;9,886
"7";836;53,55;9,933
"8";930;53,545;9,91
"9";938;53,584;9,969
"10";980;53,515;9,993
"11";1004;53,481;10,174
"12";1070;53,463;9,972
"13";1088;53,556;9,991
"14";1104;53,494;10,02
"15";1134;53,55;10,048
"16";1523;53,658;10,118
"17";1573;53,565;9,965
"18";1577;53,607;10,004
"19";1637;53,52;10,048
"20";1639;53,552;10,08
"21";1682;53,596;10,059
"22";1697;53,612;9,906
"23";2406;53,544;9,998
"24";2448;53,556;9,946
"25";2470;53,557;9,94
"26";2522;53,331;9,86
"27";2548;53,521;10,248
"28";2554;53,558;10,062
"29";2556;53,564;9,927
"30";2558;53,488;10,006
"31";2560;53,547;9,967
"32";2568;53,685;10,033
"33";2660;53,519;9,984
"34";3022;53,584;9,938
"35";3274;53,673;10,064
"36";3297;53,572;10,174
"37";3351;53,596;9,982
"38";3411;53,586;10,014
"39";3497;53,577;9,955
"40";3503;53,49;10,175
"41";3539;53,562;9,963
"42";3553;53,557;10,007
"43";3587;53,593;9,967
"44";3629;53,626;10,012
"45";3673;53,556;9,936
"46";3825;53,633;10,07
"47";3881;53,481;10,237
"48";3907;53,516;9,996
"49";3997;53,556;9,914
"50";3999;53,603;10,113
"51";4029;53,442;10,004
"52";4074;53,522;9,806
"53";4272;53,658;9,797
"54";4294;53,633;10,101
"55";4307;53,449;9,984
"56";4309;53,576;9,981
"57";4317;53,575;9,933
"58";4377;53,685;9,993
"59";4385;53,54;10,042
"60";4387;53,584;9,818
"61";4672;53,552;9,943
"62";4724;53,543;10,226
"63";4732;53,668;10,007
"64";4736;53,567;9,905
"65";4748;53,582;9,962
"66";4764;53,582;9,946
"67";4766;53,576;9,745
"68";4853;53,488;10,211
"69";4921;53,623;10,106
"70";4945;53,58;9,963
"71";4992;53,524;10,166
"72";5153;53,583;10,085
"73";5279;53,588;10,01
"74";5383;53,448;10,077
"75";5391;53,624;9,786
"76";5407;53,582;9,946
"77";5410;53,493;9,992
"78";5452;53,577;9,822
"79";5491;53,541;10,224
"80";5602;53,595;10,082
"81";5612;53,581;9,956
"82";5742;53,501;10,019
"83";5791;53,481;10,006
"84";5857;53,467;9,959
"85";5963;53,562;9,907
"86";5989;53,545;9,977
"87";6057;53,494;9,928
"88";6213;53,587;9,955
"89";6253;53,485;10,018
"90";6263;53,576;10,048
"91";6310;53,658;10,068
"92";6360;53,479;10,003
"93";6436;53,551;9,918
"94";6511;53,437;9,979
"95";6574;53,518;10,249
"96";6669;53,495;9,994
"97";6683;53,558;10,012
"98";6729;53,379;10,022
"99";6743;53,476;10,082
"100";6830;53,517;9,985
"101";7029;53,5;10,176
"102";7160;53,576;9,978
"103";7205;53,48;10,003
"104";7217;53,58;10,095
"105";7308;53,33;9,875
"106";7326;53,69;9,993
"107";7354;53,637;10,095
"108";7414;53,511;10,17
"109";7563;53,586;10,039
"110";7861;53,626;9,835
"111";8100;53,47;9,832
"112";8133;53,65;9,915
"113";8137;53,631;9,858
"114";8151;53,623;9,959
"115";8345;53,656;10,096
"116";8409;53,671;10,08
"117";8548;53,555;10,021
"118";8610;53,649;10,098
"119";8677;53,628;10,015
"120";9104;53,547;9,981
"121";9115;53,653;10,168
"122";9180;53,488;10,227
"123";9262;53,569;9,885
"124";9270;53,459;9,94
"125";9426;53,556;9,939
"126";9964;53,553;9,963
"127";9972;53,561;10,062
"128";10069;53,72;10,013
"129";10106;53,582;9,964
"130";10335;53,548;9,931
"131";10407;53,453;10,229
"132";10621;53,549;9,922
"133";11217;53,583;10,095
"134";11220;53,546;10,103
"135";11512;53,555;10,042
"136";12269;53,63;9,952
"137";12312;53,58;9,759
"138";12324;53,582;10,011
"139";12491;53,658;10,102
"140";12544;53,58;9,961
"141";12597;53,589;9,956
"142";12737;53,584;10,054
"143";12745;53,686;10,03
"144";12818;53,473;9,893
"145";12880;53,787;9,995
"146";12888;53,582;9,941
"147";12894;53,69;9,796
"148";13069;53,55;9,926
"149";13571;53,485;10,216
"150";13683;53,552;9,908
"151";13698;53,641;9,956
"152";13779;53,559;9,95
"153";13805;53,607;9,872
"154";13841;53,564;9,942
"155";13855;53,609;9,957
"156";13999;53,573;10,055
"157";14050;53,566;10,043
"158";14123;53,539;10,158
"159";14139;53,515;9,988
"160";14342;53,595;9,96
"161";14665;53,574;10,041
"162";14736;53,59;10,063
"163";14748;53,573;9,976
"164";14766;53,557;9,97
"165";14892;53,627;9,906
"166";14961;53,574;9,962
"167";15002;53,59;10,02
"168";15098;53,639;9,942
"169";15102;53,585;9,998
"170";15136;53,612;9,901
"171";15352;53,568;10,056
"172";15402;53,478;10,17
"173";15433;53,577;10,013
"174";15451;53,594;9,938
"175";15486;53,698;10,078
"176";15569;53,556;10,01
"177";15579;53,56;10,097
"178";15601;53,467;9,957
"179";15637;53,584;10,019
"180";15774;53,558;9,97
"181";15856;53,611;10,037
"182";15893;53,329;9,876
"183";15968;53,472;9,795
"184";15988;53,547;9,979
"185";16015;53,592;10,184
"186";16021;53,578;9,934
"187";16067;53,545;9,901
