"";"sensor_id";"lat";"lon"
"1";317;53,448;10,227
"2";413;53,55;9,944
"3";545;53,304;9,815
"4";591;53,607;10,047
"5";811;53,331;9,886
"6";836;53,55;9,933
"7";930;53,545;9,91
"8";934;53,253;10,401
"9";938;53,584;9,969
"10";980;53,515;9,993
"11";1004;53,481;10,174
"12";1070;53,463;9,972
"13";1088;53,556;9,991
"14";1104;53,494;10,02
"15";1134;53,55;10,048
"16";1523;53,658;10,118
"17";1573;53,565;9,965
"18";1577;53,607;10,004
"19";1637;53,52;10,048
"20";1639;53,552;10,08
"21";1661;53,79;9,674
"22";1682;53,596;10,059
"23";1697;53,612;9,906
"24";1735;53,672;10,25
"25";2406;53,544;9,998
"26";2448;53,556;9,946
"27";2470;53,557;9,94
"28";2522;53,331;9,86
"29";2548;53,521;10,248
"30";2554;53,558;10,062
"31";2556;53,564;9,927
"32";2558;53,488;10,006
"33";2560;53,547;9,967
"34";2568;53,685;10,033
"35";2624;53,257;10,386
"36";2658;53,303;10,407
"37";2660;53,519;9,984
"38";2722;53,215;10,395
"39";2836;53,227;10,4
"40";2858;53,249;10,406
"41";3022;53,584;9,938
"42";3185;53,701;10,251
"43";3274;53,673;10,064
"44";3297;53,572;10,174
"45";3309;53,239;10,394
"46";3411;53,586;10,014
"47";3497;53,577;9,955
"48";3503;53,49;10,175
"49";3539;53,562;9,963
"50";3553;53,557;10,007
"51";3629;53,626;10,012
"52";3673;53,556;9,936
"53";3823;53,368;9,724
"54";3825;53,633;10,07
"55";3865;53,25;10,412
"56";3881;53,481;10,237
"57";3907;53,516;9,996
"58";3997;53,556;9,914
"59";3999;53,603;10,113
"60";4029;53,442;10,004
"61";4074;53,522;9,806
"62";4272;53,658;9,797
"63";4288;53,591;9,706
"64";4294;53,633;10,101
"65";4307;53,449;9,984
"66";4309;53,576;9,981
"67";4317;53,575;9,933
"68";4377;53,685;9,993
"69";4385;53,54;10,042
"70";4387;53,584;9,818
"71";4395;53,693;9,704
"72";4672;53,552;9,943
"73";4724;53,543;10,226
"74";4732;53,668;10,007
"75";4736;53,567;9,905
"76";4748;53,582;9,962
"77";4764;53,582;9,946
"78";4766;53,576;9,745
"79";4778;53,702;10,25
"80";4853;53,488;10,211
"81";4921;53,623;10,106
"82";4945;53,58;9,963
"83";4992;53,524;10,166
"84";5153;53,583;10,085
"85";5279;53,588;10,01
"86";5383;53,448;10,077
"87";5391;53,624;9,786
"88";5407;53,582;9,946
"89";5410;53,493;9,992
"90";5452;53,577;9,822
"91";5491;53,541;10,224
"92";5602;53,595;10,082
"93";5612;53,581;9,956
"94";5742;53,501;10,019
"95";5762;53,283;9,508
"96";5791;53,481;10,006
"97";5963;53,562;9,907
"98";5989;53,545;9,977
"99";6047;53,247;10,414
"100";6057;53,494;9,928
"101";6213;53,587;9,955
"102";6253;53,485;10,018
"103";6263;53,576;10,048
"104";6282;53,486;9,567
"105";6298;53,726;10,284
"106";6310;53,658;10,068
"107";6360;53,479;10,003
"108";6436;53,551;9,918
"109";6446;53,654;10,266
"110";6574;53,518;10,249
"111";6636;53,473;10,252
"112";6669;53,495;9,994
"113";6683;53,558;10,012
"114";6729;53,379;10,022
"115";6765;53,486;9,602
"116";6830;53,517;9,985
"117";6969;53,23;10,4
"118";6977;53,245;10,414
"119";6999;53,242;10,407
"120";7027;53,247;10,337
"121";7029;53,5;10,176
"122";7033;53,175;10,411
"123";7045;53,326;10,357
"124";7047;53,255;10,352
"125";7154;53,783;10,44
"126";7160;53,576;9,978
"127";7205;53,48;10,003
"128";7217;53,58;10,095
"129";7239;53,288;10,458
"130";7308;53,33;9,875
"131";7326;53,69;9,993
"132";7354;53,637;10,095
"133";7414;53,511;10,17
"134";7563;53,586;10,039
"135";7605;53,359;9,737
"136";7861;53,626;9,835
"137";8100;53,47;9,832
"138";8133;53,65;9,915
"139";8137;53,631;9,858
"140";8151;53,623;9,959
"141";8345;53,656;10,096
"142";8409;53,671;10,08
"143";8548;53,555;10,021
"144";8610;53,649;10,098
"145";8677;53,628;10,015
"146";9104;53,547;9,981
"147";9115;53,653;10,168
"148";9180;53,488;10,227
"149";9262;53,569;9,885
"150";9270;53,459;9,94
"151";9426;53,556;9,939
"152";9964;53,553;9,963
"153";9972;53,561;10,062
"154";10069;53,72;10,013
"155";10106;53,582;9,964
"156";10335;53,548;9,931
"157";10407;53,453;10,229
"158";10509;53,266;10,41
"159";10621;53,549;9,922
"160";10870;53,754;9,645
"161";10884;53,252;10,39
"162";10898;53,254;10,43
"163";10900;53,208;10,392
"164";11131;53,57;9,717
"165";11217;53,583;10,095
"166";11220;53,546;10,103
"167";11504;53,263;10,409
"168";11512;53,555;10,042
"169";11590;54,049;9,975
"170";11731;53,735;10,257
"171";11739;53,204;10,444
"172";11984;53,246;10,368
"173";12024;53,23;10,443
"174";12269;53,63;9,952
"175";12324;53,582;10,011
"176";12491;53,658;10,102
"177";12511;53,797;10,381
"178";12544;53,58;9,961
"179";12597;53,589;9,956
"180";12737;53,584;10,054
"181";12745;53,686;10,03
"182";12818;53,473;9,893
"183";12859;53,25;10,403
"184";12871;53,767;9,626
"185";12880;53,787;9,995
"186";12888;53,582;9,941
"187";12894;53,69;9,796
"188";12964;53,651;9,561
"189";13069;53,55;9,926
"190";13171;53,2;10,431
"191";13228;53,219;10,402
"192";13230;53,253;10,397
"193";13275;53,238;10,382
"194";13558;53,446;9,508
"195";13571;53,485;10,216
"196";13617;53,547;10,274
"197";13683;53,552;9,908
"198";13698;53,641;9,956
"199";13779;53,559;9,95
"200";13805;53,607;9,872
"201";13841;53,564;9,942
"202";13855;53,609;9,957
"203";13991;53,586;9,692
"204";13999;53,573;10,055
"205";14050;53,566;10,043
"206";14123;53,539;10,158
"207";14139;53,515;9,988
"208";14340;53,706;9,714
"209";14342;53,595;9,96
"210";14377;53,668;9,577
"211";14665;53,574;10,041
"212";14736;53,59;10,063
"213";14748;53,573;9,976
"214";14766;53,557;9,97
"215";14793;53,242;10,399
"216";14892;53,627;9,906
"217";14961;53,574;9,962
"218";15002;53,59;10,02
"219";15098;53,639;9,942
"220";15102;53,585;9,998
"221";15136;53,612;9,901
"222";15238;53,274;9,5
"223";15352;53,568;10,056
"224";15402;53,478;10,17
"225";15433;53,577;10,013
"226";15451;53,594;9,938
"227";15486;53,698;10,078
"228";15569;53,556;10,01
"229";15579;53,56;10,097
"230";15601;53,467;9,957
"231";15637;53,584;10,019
"232";15774;53,558;9,97
"233";15893;53,329;9,876
"234";15968;53,472;9,795
"235";15988;53,547;9,979
"236";16015;53,592;10,184
"237";16021;53,578;9,934
"238";16067;53,545;9,901
"239";16119;53,547;10,111
"240";16171;53,596;10,165
"241";16183;53,542;10,001
