"";"sensor_id";"lat";"lon"
"1";239;53,591;10,004
"2";317;53,448;10,227
"3";413;53,55;9,944
"4";591;53,607;10,047
"5";811;53,331;9,886
"6";836;53,55;9,933
"7";930;53,545;9,91
"8";938;53,584;9,969
"9";980;53,515;9,993
"10";1004;53,481;10,174
"11";1070;53,463;9,972
"12";1088;53,556;9,991
"13";1104;53,494;10,02
"14";1134;53,55;10,048
"15";1523;53,658;10,118
"16";1573;53,565;9,965
"17";1577;53,607;10,004
"18";1637;53,52;10,048
"19";1639;53,552;10,08
"20";1682;53,596;10,059
"21";1697;53,612;9,906
"22";2406;53,544;9,998
"23";2448;53,556;9,946
"24";2470;53,557;9,94
"25";2522;53,331;9,86
"26";2548;53,521;10,248
"27";2554;53,558;10,062
"28";2556;53,564;9,927
"29";2558;53,488;10,006
"30";2560;53,547;9,967
"31";2568;53,685;10,033
"32";2660;53,519;9,984
"33";3022;53,584;9,938
"34";3274;53,673;10,064
"35";3297;53,572;10,174
"36";3411;53,586;10,014
"37";3497;53,577;9,955
"38";3503;53,49;10,175
"39";3539;53,562;9,963
"40";3553;53,557;10,007
"41";3587;53,593;9,967
"42";3629;53,626;10,012
"43";3673;53,556;9,936
"44";3825;53,633;10,07
"45";3881;53,481;10,237
"46";3907;53,516;9,996
"47";3997;53,556;9,914
"48";3999;53,603;10,113
"49";4029;53,442;10,004
"50";4074;53,522;9,806
"51";4272;53,658;9,797
"52";4294;53,633;10,101
"53";4307;53,449;9,984
"54";4309;53,576;9,981
"55";4317;53,575;9,933
"56";4377;53,685;9,993
"57";4385;53,54;10,042
"58";4387;53,584;9,818
"59";4672;53,552;9,943
"60";4724;53,543;10,226
"61";4732;53,668;10,007
"62";4736;53,567;9,905
"63";4748;53,582;9,962
"64";4764;53,582;9,946
"65";4766;53,576;9,745
"66";4853;53,488;10,211
"67";4921;53,623;10,106
"68";4945;53,58;9,963
"69";4992;53,524;10,166
"70";5153;53,583;10,085
"71";5279;53,588;10,01
"72";5383;53,448;10,077
"73";5391;53,624;9,786
"74";5407;53,582;9,946
"75";5410;53,493;9,992
"76";5452;53,577;9,822
"77";5491;53,541;10,224
"78";5602;53,595;10,082
"79";5612;53,581;9,956
"80";5742;53,501;10,019
"81";5791;53,481;10,006
"82";5857;53,467;9,959
"83";5963;53,562;9,907
"84";5989;53,545;9,977
"85";6057;53,494;9,928
"86";6213;53,587;9,955
"87";6253;53,485;10,018
"88";6263;53,576;10,048
"89";6310;53,658;10,068
"90";6360;53,479;10,003
"91";6436;53,551;9,918
"92";6511;53,437;9,979
"93";6574;53,518;10,249
"94";6669;53,495;9,994
"95";6683;53,558;10,012
"96";6729;53,379;10,022
"97";6830;53,517;9,985
"98";7029;53,5;10,176
"99";7160;53,576;9,978
"100";7205;53,48;10,003
"101";7217;53,58;10,095
"102";7308;53,33;9,875
"103";7326;53,69;9,993
"104";7354;53,637;10,095
"105";7414;53,511;10,17
"106";7563;53,586;10,039
"107";7861;53,626;9,835
"108";8100;53,47;9,832
"109";8133;53,65;9,915
"110";8137;53,631;9,858
"111";8151;53,623;9,959
"112";8345;53,656;10,096
"113";8409;53,671;10,08
"114";8548;53,555;10,021
"115";8610;53,649;10,098
"116";8677;53,628;10,015
"117";9104;53,547;9,981
"118";9115;53,653;10,168
"119";9180;53,488;10,227
"120";9262;53,569;9,885
"121";9270;53,459;9,94
"122";9426;53,556;9,939
"123";9964;53,553;9,963
"124";9972;53,561;10,062
"125";10069;53,72;10,013
"126";10106;53,582;9,964
"127";10335;53,548;9,931
"128";10407;53,453;10,229
"129";10621;53,549;9,922
"130";11217;53,583;10,095
"131";11220;53,546;10,103
"132";11512;53,555;10,042
"133";12269;53,63;9,952
"134";12324;53,582;10,011
"135";12491;53,658;10,102
"136";12544;53,58;9,961
"137";12597;53,589;9,956
"138";12737;53,584;10,054
"139";12745;53,686;10,03
"140";12818;53,473;9,893
"141";12880;53,787;9,995
"142";12888;53,582;9,941
"143";12894;53,69;9,796
"144";13069;53,55;9,926
"145";13571;53,485;10,216
"146";13683;53,552;9,908
"147";13698;53,641;9,956
"148";13779;53,559;9,95
"149";13805;53,607;9,872
"150";13841;53,564;9,942
"151";13855;53,609;9,957
"152";13999;53,573;10,055
"153";14050;53,566;10,043
"154";14123;53,539;10,158
"155";14139;53,515;9,988
"156";14342;53,595;9,96
"157";14665;53,574;10,041
"158";14736;53,59;10,063
"159";14748;53,573;9,976
"160";14766;53,557;9,97
"161";14892;53,627;9,906
"162";14961;53,574;9,962
"163";15002;53,59;10,02
"164";15098;53,639;9,942
"165";15102;53,585;9,998
"166";15136;53,612;9,901
"167";15352;53,568;10,056
"168";15402;53,478;10,17
"169";15433;53,577;10,013
"170";15451;53,594;9,938
"171";15486;53,698;10,078
"172";15569;53,556;10,01
"173";15579;53,56;10,097
"174";15601;53,467;9,957
"175";15637;53,584;10,019
"176";15774;53,558;9,97
"177";15893;53,329;9,876
"178";15968;53,472;9,795
"179";15988;53,547;9,979
"180";16015;53,592;10,184
"181";16021;53,578;9,934
"182";16067;53,545;9,901
"183";16119;53,547;10,111
"184";16171;53,596;10,165
"185";16183;53,542;10,001
"186";16193;53,581;10,08
"187";16286;53,569;10,017
"188";16292;53,566;9,982
"189";16387;53,447;9,989
"190";16432;53,579;10,017
"191";16452;53,564;9,98
"192";16559;53,574;9,959
"193";16788;53,514;9,987
"194";16990;53,627;9,968
"195";17141;53,556;9,945
"196";17185;53,563;10,077
"197";17201;53,588;10,176
"198";17345;53,589;10,002
"199";17374;53,576;9,847
