"";"sensor_id";"lat";"lon"
"1";355;48,111;11,581
"2";489;48,121;11,576
"3";525;48,135;11,504
"4";826;48,132;11,608
"5";936;48,194;11,548
"6";982;48,124;11,577
"7";990;48,127;11,601
"8";1024;48,213;11,349
"9";1028;48,12;11,488
"10";1270;48,138;11,55
"11";1294;48,311;11,729
"12";1338;48,157;11,559
"13";1426;48,213;11,349
"14";1432;48,19;11,367
"15";1539;48,188;11,643
"16";1675;48,105;11,616
"17";1795;48,23;11,678
"18";1797;48,138;11,428
"19";1803;48,098;11,511
"20";1805;48,142;11,516
"21";1825;48,13;11,349
"22";1827;48,182;11,538
"23";1829;48,118;11,599
"24";1831;48,107;11,708
"25";1841;48,109;11,538
"26";1955;48,314;11,562
"27";2205;48,02;11,477
"28";2211;48,131;11,502
"29";2247;48,147;11,595
"30";2620;48,128;11,593
"31";2656;48,175;11,791
"32";2852;48,21;11,453
"33";2882;48,081;11,603
"34";2884;48,254;11,547
"35";2986;48,151;11,556
"36";3064;48,157;11,534
"37";3221;48,154;11,53
"38";3227;48,02;11,477
"39";3235;48,152;11,562
"40";3353;48,136;11,565
"41";3441;48,197;11,532
"42";3487;48,176;11,712
"43";3599;48,222;11,475
"44";3645;48,06;11,662
"45";3693;48,114;11,603
"46";3741;48,071;11,688
"47";3815;48,153;11,537
"48";3817;48,078;11,516
"49";3867;48,151;11,528
"50";3935;48,143;11,491
"51";4009;48,2;11,547
"52";4067;48,159;11,619
"53";4194;48,049;11,626
"54";4252;48,083;11,533
"55";4284;48,161;11,534
"56";4315;48,199;11,798
"57";4418;48,122;11,659
"58";4430;48,139;11,488
"59";4452;48,152;11,584
"60";4603;48,273;11,563
"61";4611;48,149;11,559
"62";4630;48,17;11,601
"63";4634;48,158;11,815
"64";4676;48,181;11,478
"65";4893;48,112;11,528
"66";4903;48,142;11,616
"67";4959;48,199;11,532
"68";5024;48,177;11,807
"69";5209;48,047;11,706
"70";5213;48,137;11,559
"71";5261;48,25;11,64
"72";5315;48,189;11,638
"73";5323;48,153;11,538
"74";5385;48,183;11,527
"75";5547;48,213;11,566
"76";5859;48,08;11,599
"77";5955;48,08;11,599
"78";6217;48,206;11,551
"79";6280;48,205;11,612
"80";6334;48,204;11,576
"81";7039;48,18;11,538
"82";7094;48,143;11,46
"83";7197;48,128;11,675
"84";7302;48,158;11,54
"85";7318;48,131;11,562
"86";7357;48,128;11,678
"87";7379;48,128;11,487
"88";7412;48,136;11,539
"89";7444;48,126;11,593
"90";7503;48,135;11,535
"91";7607;48,12;11,534
"92";7647;48,02;11,72
"93";7661;48,183;11,51
"94";7693;48,161;11,51
"95";7705;48,111;11,552
"96";7727;48,109;11,552
"97";7763;48,124;11,635
"98";7805;48,139;11,531
"99";8042;48,132;11,366
"100";8110;48,11;11,678
"101";8135;48,139;11,538
"102";8234;48,124;11,549
"103";8254;48,162;11,543
"104";8295;48,154;11,563
"105";8353;48,09;11,498
"106";8466;48,147;11,649
"107";8646;48,175;11,573
"108";8720;48,08;11,677
"109";8899;48,167;11,458
"110";9026;48,141;11,549
"111";9178;48,126;11,546
"112";9224;48,071;11,617
"113";9348;48,214;11,53
"114";9386;48,15;11,434
"115";9447;48,129;11,375
"116";9453;48,13;11,379
"117";9481;48,062;11,671
"118";9536;48,024;11,725
"119";9657;48,111;11,622
"120";9731;48,09;11,595
"121";9838;48,15;11,506
"122";10092;48,092;11,485
"123";10232;48,175;11,756
"124";10271;48,165;11,437
"125";10475;48,265;11,436
"126";10533;48,114;11,652
"127";10544;48,172;11,626
"128";10635;47,899;11,447
"129";10793;48,079;11,505
"130";11104;48,109;11,522
"131";11259;48,058;11,666
"132";11296;48,118;11,734
"133";11398;48,117;11,608
"134";11825;48,094;11,496
"135";11869;48,139;11,616
"136";12165;48,128;11,476
"137";12275;48,144;11,424
"138";12330;48,114;11,585
"139";12371;48,165;11,537
"140";12463;48,13;11,505
"141";12465;48,185;11,548
"142";12521;48,148;11,534
"143";12552;48,13;11,518
"144";13034;48,023;11,81
"145";13313;48,111;11,603
"146";13413;48,137;11,387
"147";13603;48,258;11,462
"148";13643;48,178;11,569
"149";14021;48,116;11,579
"150";14096;48,105;11,545
"151";14121;48,115;11,441
"152";14237;48,177;11,601
"153";14249;48,138;11,639
"154";14860;48,128;11,598
"155";14890;48,013;11,59
"156";14905;48,047;11,701
"157";14913;48,311;11,672
"158";14955;48,093;11,501
"159";15041;48,114;11,535
"160";15404;48,124;11,589
"161";15443;48,147;11,576
"162";15679;48,16;11,56
"163";15780;48,171;11,71
"164";15797;48,198;11,457
"165";15841;48,022;11,813
"166";15944;48,178;11,524
"167";15950;48,112;11,57
"168";15966;48,153;11,534
"169";16075;48,243;11,645
"170";16258;48,182;11,553
"171";16375;48,105;11,416
"172";16389;48,124;11,586
"173";16502;48,107;11,674
"174";16512;48,029;11,599
"175";16520;48,111;11,523
"176";16526;48,151;11,543
"177";16606;48,199;11,547
"178";16620;48,155;11,507
