"";"sensor_id";"lat";"lon"
"1";355;48,111;11,581
"2";489;48,121;11,576
"3";525;48,135;11,504
"4";826;48,132;11,608
"5";936;48,194;11,548
"6";982;48,124;11,577
"7";990;48,127;11,601
"8";1024;48,213;11,349
"9";1028;48,12;11,488
"10";1270;48,138;11,55
"11";1294;48,311;11,729
"12";1338;48,157;11,559
"13";1426;48,213;11,349
"14";1432;48,19;11,367
"15";1539;48,188;11,643
"16";1675;48,105;11,616
"17";1795;48,23;11,678
"18";1797;48,138;11,428
"19";1803;48,098;11,511
"20";1805;48,142;11,516
"21";1825;48,13;11,349
"22";1827;48,182;11,538
"23";1829;48,118;11,599
"24";1831;48,107;11,708
"25";1841;48,109;11,538
"26";1955;48,314;11,562
"27";2205;48,02;11,477
"28";2211;48,131;11,502
"29";2247;48,147;11,595
"30";2283;48,018;11,478
"31";2620;48,128;11,593
"32";2656;48,175;11,791
"33";2852;48,21;11,453
"34";2882;48,081;11,603
"35";2884;48,254;11,547
"36";2986;48,151;11,556
"37";3064;48,157;11,534
"38";3183;48,143;11,469
"39";3221;48,154;11,53
"40";3227;48,02;11,477
"41";3235;48,152;11,562
"42";3353;48,136;11,565
"43";3441;48,197;11,532
"44";3487;48,176;11,712
"45";3599;48,222;11,475
"46";3645;48,06;11,662
"47";3655;48,159;11,55
"48";3693;48,114;11,603
"49";3741;48,071;11,688
"50";3815;48,153;11,537
"51";3817;48,078;11,516
"52";3867;48,151;11,528
"53";3935;48,143;11,491
"54";4009;48,2;11,547
"55";4067;48,159;11,619
"56";4194;48,049;11,626
"57";4252;48,083;11,533
"58";4284;48,161;11,534
"59";4315;48,199;11,798
"60";4418;48,122;11,659
"61";4430;48,139;11,488
"62";4442;48,177;11,566
"63";4452;48,152;11,584
"64";4603;48,273;11,563
"65";4611;48,149;11,559
"66";4630;48,17;11,601
"67";4634;48,158;11,815
"68";4676;48,181;11,478
"69";4893;48,112;11,528
"70";4903;48,142;11,616
"71";4959;48,199;11,532
"72";5024;48,177;11,807
"73";5209;48,047;11,706
"74";5213;48,137;11,559
"75";5261;48,25;11,64
"76";5315;48,189;11,638
"77";5323;48,153;11,538
"78";5385;48,183;11,527
"79";5547;48,213;11,566
"80";5835;48,13;11,578
"81";5859;48,08;11,599
"82";5955;48,08;11,599
"83";6117;48,203;11,509
"84";6217;48,206;11,551
"85";6280;48,205;11,612
"86";6334;48,204;11,576
"87";7039;48,18;11,538
"88";7094;48,143;11,46
"89";7197;48,128;11,675
"90";7302;48,158;11,54
"91";7318;48,131;11,562
"92";7357;48,128;11,678
"93";7379;48,128;11,487
"94";7412;48,136;11,539
"95";7444;48,126;11,593
"96";7503;48,135;11,535
"97";7607;48,12;11,534
"98";7647;48,02;11,72
"99";7661;48,183;11,51
"100";7693;48,161;11,51
"101";7705;48,111;11,552
"102";7727;48,109;11,552
"103";7763;48,124;11,635
"104";7805;48,139;11,531
"105";8042;48,132;11,366
"106";8110;48,11;11,678
"107";8135;48,139;11,538
"108";8234;48,124;11,549
"109";8254;48,162;11,543
"110";8295;48,154;11,563
"111";8353;48,09;11,498
"112";8466;48,147;11,649
"113";8646;48,175;11,573
"114";8720;48,08;11,677
"115";8899;48,167;11,458
"116";9026;48,141;11,549
"117";9178;48,126;11,546
"118";9224;48,071;11,617
"119";9348;48,214;11,53
"120";9386;48,15;11,434
"121";9447;48,129;11,375
"122";9453;48,13;11,379
"123";9481;48,062;11,671
"124";9536;48,024;11,725
"125";9657;48,111;11,622
"126";9731;48,09;11,595
"127";9838;48,15;11,506
"128";10092;48,092;11,485
"129";10108;48,168;11,527
"130";10232;48,175;11,756
"131";10271;48,165;11,437
"132";10475;48,265;11,436
"133";10533;48,114;11,652
"134";10544;48,172;11,626
"135";10635;47,899;11,447
"136";10793;48,079;11,505
"137";11104;48,109;11,522
"138";11259;48,058;11,666
"139";11296;48,118;11,734
"140";11398;48,117;11,608
"141";11825;48,094;11,496
"142";11869;48,139;11,616
"143";12165;48,128;11,476
"144";12275;48,144;11,424
"145";12330;48,114;11,585
"146";12371;48,165;11,537
"147";12463;48,13;11,505
"148";12465;48,185;11,548
"149";12521;48,148;11,534
"150";12552;48,13;11,518
"151";12569;48,062;11,391
"152";13034;48,023;11,81
"153";13313;48,111;11,603
"154";13413;48,137;11,387
"155";13603;48,258;11,462
"156";13643;48,178;11,569
"157";14021;48,116;11,579
"158";14096;48,105;11,545
"159";14121;48,115;11,441
"160";14237;48,177;11,601
"161";14249;48,138;11,639
"162";14860;48,128;11,598
"163";14890;48,013;11,59
"164";14905;48,047;11,701
"165";14913;48,311;11,672
"166";14955;48,093;11,501
"167";15041;48,114;11,535
"168";15404;48,124;11,589
"169";15443;48,147;11,576
"170";15679;48,16;11,56
"171";15780;48,171;11,71
"172";15797;48,198;11,457
"173";15841;48,022;11,813
"174";15944;48,178;11,524
"175";15950;48,112;11,57
"176";15966;48,153;11,534
"177";16075;48,243;11,645
"178";16258;48,182;11,553
"179";16375;48,105;11,416
"180";16389;48,124;11,586
"181";16502;48,107;11,674
"182";16512;48,029;11,599
"183";16520;48,111;11,523
"184";16526;48,151;11,543
"185";16606;48,199;11,547
"186";16620;48,155;11,507
"187";16864;48,126;11,642
"188";17372;48,116;11,59
"189";17633;48,146;11,594
"190";17894;48,361;11,441
"191";17967;48,05;11,696
"192";17985;48,122;11,546
