"";"sensor_id";"lat";"lon"
"1";355;48,111;11,581
"2";489;48,121;11,576
"3";525;48,135;11,504
"4";826;48,132;11,608
"5";936;48,194;11,548
"6";982;48,124;11,577
"7";990;48,127;11,601
"8";1024;48,213;11,349
"9";1028;48,12;11,488
"10";1078;47,872;11,477
"11";1270;48,138;11,55
"12";1294;48,311;11,729
"13";1338;48,157;11,559
"14";1426;48,213;11,349
"15";1432;48,19;11,367
"16";1539;48,188;11,643
"17";1675;48,105;11,616
"18";1795;48,23;11,678
"19";1797;48,138;11,428
"20";1803;48,098;11,511
"21";1805;48,142;11,516
"22";1807;48,503;11,762
"23";1809;47,767;11,16
"24";1811;47,814;11,133
"25";1825;48,13;11,349
"26";1827;48,182;11,538
"27";1829;48,118;11,599
"28";1831;48,107;11,708
"29";1841;48,109;11,538
"30";1955;48,314;11,562
"31";2205;48,02;11,477
"32";2211;48,131;11,502
"33";2217;48,067;11,14
"34";2247;48,147;11,595
"35";2620;48,128;11,593
"36";2656;48,175;11,791
"37";2852;48,21;11,453
"38";2882;48,081;11,603
"39";2884;48,254;11,547
"40";2986;48,151;11,556
"41";3064;48,157;11,534
"42";3221;48,154;11,53
"43";3227;48,02;11,477
"44";3235;48,152;11,562
"45";3353;48,136;11,565
"46";3441;48,197;11,532
"47";3487;48,176;11,712
"48";3599;48,222;11,475
"49";3645;48,06;11,662
"50";3693;48,114;11,603
"51";3741;48,071;11,688
"52";3815;48,153;11,537
"53";3817;48,078;11,516
"54";3867;48,151;11,528
"55";3935;48,143;11,491
"56";3989;47,757;11,368
"57";4009;48,2;11,547
"58";4067;48,159;11,619
"59";4078;47,857;11,155
"60";4194;48,049;11,626
"61";4232;48,473;11,933
"62";4252;48,083;11,533
"63";4284;48,161;11,534
"64";4315;48,199;11,798
"65";4418;48,122;11,659
"66";4430;48,139;11,488
"67";4452;48,152;11,584
"68";4521;48,464;11,925
"69";4603;48,273;11,563
"70";4611;48,149;11,559
"71";4630;48,17;11,601
"72";4634;48,158;11,815
"73";4676;48,181;11,478
"74";4893;48,112;11,528
"75";4903;48,142;11,616
"76";4959;48,199;11,532
"77";5024;48,177;11,807
"78";5199;47,869;11,893
"79";5209;48,047;11,706
"80";5213;48,137;11,559
"81";5255;47,771;11,354
"82";5261;48,25;11,64
"83";5315;48,189;11,638
"84";5323;48,153;11,538
"85";5385;48,183;11,527
"86";5547;48,213;11,566
"87";5855;48,392;11,765
"88";5859;48,08;11,599
"89";5927;48,077;11,885
"90";5955;48,08;11,599
"91";6177;48,209;11,175
"92";6217;48,206;11,551
"93";6280;48,205;11,612
"94";6334;48,204;11,576
"95";6469;47,847;11,148
"96";6515;48,26;11,969
"97";6663;48,099;11,291
"98";6725;48,505;11,691
"99";7039;48,18;11,538
"100";7094;48,143;11,46
"101";7197;48,128;11,675
"102";7302;48,158;11,54
"103";7318;48,131;11,562
"104";7357;48,128;11,678
"105";7379;48,128;11,487
"106";7412;48,136;11,539
"107";7444;48,126;11,593
"108";7503;48,135;11,535
"109";7607;48,12;11,534
"110";7647;48,02;11,72
"111";7661;48,183;11,51
"112";7693;48,161;11,51
"113";7705;48,111;11,552
"114";7727;48,109;11,552
"115";7763;48,124;11,635
"116";7805;48,139;11,531
"117";8042;48,132;11,366
"118";8110;48,11;11,678
"119";8135;48,139;11,538
"120";8207;48,221;11,263
"121";8234;48,124;11,549
"122";8254;48,162;11,543
"123";8295;48,154;11,563
"124";8353;48,09;11,498
"125";8466;48,147;11,649
"126";8646;48,175;11,573
"127";8720;48,08;11,677
"128";8899;48,167;11,458
"129";8927;48,305;11,902
"130";9026;48,141;11,549
"131";9178;48,126;11,546
"132";9224;48,071;11,617
"133";9348;48,214;11,53
"134";9386;48,15;11,434
"135";9447;48,129;11,375
"136";9453;48,13;11,379
"137";9481;48,062;11,671
"138";9536;48,024;11,725
"139";9657;48,111;11,622
"140";9691;48,428;11,974
"141";9731;48,09;11,595
"142";9838;48,15;11,506
"143";10092;48,092;11,485
"144";10232;48,175;11,756
"145";10271;48,165;11,437
"146";10475;48,265;11,436
"147";10533;48,114;11,652
"148";10544;48,172;11,626
"149";10635;47,899;11,447
"150";10793;48,079;11,505
"151";11104;48,109;11,522
"152";11259;48,058;11,666
"153";11296;48,118;11,734
"154";11398;48,117;11,608
"155";11451;47,872;11,478
"156";11566;48,2;11,942
"157";11825;48,094;11,496
"158";11869;48,139;11,616
"159";12165;48,128;11,476
"160";12267;48,398;11,736
"161";12275;48,144;11,424
"162";12330;48,114;11,585
"163";12332;48,094;11,288
"164";12371;48,165;11,537
"165";12463;48,13;11,505
"166";12465;48,185;11,548
"167";12480;48,398;11,762
"168";12521;48,148;11,534
"169";12552;48,13;11,518
"170";12619;48,305;11,906
"171";12719;48,52;11,228
"172";13034;48,023;11,81
"173";13313;48,111;11,603
"174";13413;48,137;11,387
"175";13564;48,097;11,279
"176";13603;48,258;11,462
"177";13643;48,178;11,569
"178";14021;48,116;11,579
"179";14096;48,105;11,545
"180";14121;48,115;11,441
"181";14237;48,177;11,601
"182";14249;48,138;11,639
"183";14609;48,563;11,273
"184";14849;48,399;11,77
"185";14860;48,128;11,598
"186";14890;48,013;11,59
"187";14905;48,047;11,701
"188";14913;48,311;11,672
"189";14955;48,093;11,501
"190";15041;48,114;11,535
"191";15185;48,233;11,162
"192";15228;47,793;12,077
"193";15393;47,987;11,869
"194";15404;48,124;11,589
"195";15443;48,147;11,576
"196";15524;48,214;11,171
"197";15679;48,16;11,56
"198";15780;48,171;11,71
"199";15797;48,198;11,457
"200";15841;48,022;11,813
"201";15901;48,493;11,188
"202";15944;48,178;11,524
"203";15950;48,112;11,57
"204";15966;48,153;11,534
"205";16075;48,243;11,645
"206";16258;48,182;11,553
"207";16375;48,105;11,416
"208";16389;48,124;11,586
"209";16502;48,107;11,674
"210";16512;48,029;11,599
"211";16520;48,111;11,523
"212";16526;48,151;11,543
"213";16606;48,199;11,547
"214";16620;48,155;11,507
"215";16828;48,079;11,968
"216";16920;48,384;11,924
"217";16965;47,853;12,07
