"";"sensor_id";"lat";"lon"
"1";355;48,111;11,581
"2";489;48,121;11,576
"3";525;48,135;11,504
"4";826;48,132;11,608
"5";936;48,194;11,548
"6";982;48,124;11,577
"7";990;48,127;11,601
"8";1024;48,213;11,349
"9";1028;48,12;11,488
"10";1270;48,138;11,55
"11";1294;48,311;11,729
"12";1338;48,157;11,559
"13";1426;48,213;11,349
"14";1432;48,19;11,367
"15";1539;48,188;11,643
"16";1675;48,105;11,616
"17";1795;48,23;11,678
"18";1797;48,138;11,428
"19";1803;48,098;11,511
"20";1805;48,142;11,516
"21";1825;48,13;11,349
"22";1827;48,182;11,538
"23";1829;48,118;11,599
"24";1831;48,107;11,708
"25";1841;48,109;11,538
"26";1955;48,314;11,562
"27";2205;48,02;11,477
"28";2211;48,131;11,502
"29";2247;48,147;11,595
"30";2283;48,018;11,478
"31";2620;48,128;11,593
"32";2656;48,175;11,791
"33";2852;48,21;11,453
"34";2882;48,081;11,603
"35";2884;48,254;11,547
"36";2986;48,151;11,556
"37";3064;48,157;11,534
"38";3221;48,154;11,53
"39";3227;48,02;11,477
"40";3235;48,152;11,562
"41";3353;48,136;11,565
"42";3441;48,197;11,532
"43";3487;48,176;11,712
"44";3599;48,222;11,475
"45";3645;48,06;11,662
"46";3655;48,159;11,55
"47";3693;48,114;11,603
"48";3741;48,071;11,688
"49";3815;48,153;11,537
"50";3817;48,078;11,516
"51";3867;48,151;11,528
"52";3935;48,143;11,491
"53";4009;48,2;11,547
"54";4067;48,159;11,619
"55";4194;48,049;11,626
"56";4252;48,083;11,533
"57";4284;48,161;11,534
"58";4315;48,199;11,798
"59";4418;48,122;11,659
"60";4430;48,139;11,488
"61";4452;48,152;11,584
"62";4603;48,273;11,563
"63";4611;48,149;11,559
"64";4630;48,17;11,601
"65";4634;48,158;11,815
"66";4676;48,181;11,478
"67";4893;48,112;11,528
"68";4903;48,142;11,616
"69";4959;48,199;11,532
"70";5024;48,177;11,807
"71";5209;48,047;11,706
"72";5213;48,137;11,559
"73";5261;48,25;11,64
"74";5315;48,189;11,638
"75";5323;48,153;11,538
"76";5385;48,183;11,527
"77";5547;48,213;11,566
"78";5859;48,08;11,599
"79";5955;48,08;11,599
"80";6217;48,206;11,551
"81";6280;48,205;11,612
"82";6334;48,204;11,576
"83";7039;48,18;11,538
"84";7094;48,143;11,46
"85";7197;48,128;11,675
"86";7302;48,158;11,54
"87";7318;48,131;11,562
"88";7357;48,128;11,678
"89";7379;48,128;11,487
"90";7412;48,136;11,539
"91";7444;48,126;11,593
"92";7503;48,135;11,535
"93";7607;48,12;11,534
"94";7647;48,02;11,72
"95";7661;48,183;11,51
"96";7693;48,161;11,51
"97";7705;48,111;11,552
"98";7727;48,109;11,552
"99";7763;48,124;11,635
"100";7805;48,139;11,531
"101";8042;48,132;11,366
"102";8110;48,11;11,678
"103";8135;48,139;11,538
"104";8234;48,124;11,549
"105";8254;48,162;11,543
"106";8295;48,154;11,563
"107";8353;48,09;11,498
"108";8466;48,147;11,649
"109";8646;48,175;11,573
"110";8720;48,08;11,677
"111";8899;48,167;11,458
"112";9026;48,141;11,549
"113";9178;48,126;11,546
"114";9224;48,071;11,617
"115";9348;48,214;11,53
"116";9386;48,15;11,434
"117";9447;48,129;11,375
"118";9453;48,13;11,379
"119";9481;48,062;11,671
"120";9536;48,024;11,725
"121";9657;48,111;11,622
"122";9731;48,09;11,595
"123";9838;48,15;11,506
"124";10092;48,092;11,485
"125";10232;48,175;11,756
"126";10271;48,165;11,437
"127";10475;48,265;11,436
"128";10533;48,114;11,652
"129";10544;48,172;11,626
"130";10635;47,899;11,447
"131";10793;48,079;11,505
"132";11104;48,109;11,522
"133";11259;48,058;11,666
"134";11296;48,118;11,734
"135";11398;48,117;11,608
"136";11825;48,094;11,496
"137";11869;48,139;11,616
"138";12165;48,128;11,476
"139";12275;48,144;11,424
"140";12330;48,114;11,585
"141";12371;48,165;11,537
"142";12463;48,13;11,505
"143";12465;48,185;11,548
"144";12521;48,148;11,534
"145";12552;48,13;11,518
"146";12569;48,062;11,391
"147";13034;48,023;11,81
"148";13313;48,111;11,603
"149";13413;48,137;11,387
"150";13603;48,258;11,462
"151";13643;48,178;11,569
"152";14021;48,116;11,579
"153";14096;48,105;11,545
"154";14121;48,115;11,441
"155";14237;48,177;11,601
"156";14249;48,138;11,639
"157";14860;48,128;11,598
"158";14890;48,013;11,59
"159";14905;48,047;11,701
"160";14913;48,311;11,672
"161";14955;48,093;11,501
"162";15041;48,114;11,535
"163";15404;48,124;11,589
"164";15443;48,147;11,576
"165";15679;48,16;11,56
"166";15780;48,171;11,71
"167";15797;48,198;11,457
"168";15841;48,022;11,813
"169";15944;48,178;11,524
"170";15950;48,112;11,57
"171";15966;48,153;11,534
"172";16075;48,243;11,645
"173";16258;48,182;11,553
"174";16375;48,105;11,416
"175";16389;48,124;11,586
"176";16502;48,107;11,674
"177";16512;48,029;11,599
"178";16520;48,111;11,523
"179";16526;48,151;11,543
"180";16606;48,199;11,547
"181";16620;48,155;11,507
"182";16864;48,126;11,642
"183";17372;48,116;11,59
