"";"sensor_id";"lat";"lon"
"1";355;48,111;11,581
"2";489;48,121;11,576
"3";525;48,135;11,504
"4";826;48,132;11,608
"5";936;48,194;11,548
"6";982;48,124;11,577
"7";990;48,127;11,601
"8";1014;48,132;11,598
"9";1014;48,118;11,628
"10";1024;48,213;11,349
"11";1028;48,12;11,488
"12";1270;48,138;11,55
"13";1294;48,311;11,729
"14";1338;48,157;11,559
"15";1426;48,213;11,349
"16";1432;48,19;11,367
"17";1539;48,188;11,643
"18";1675;48,105;11,616
"19";1785;48,157;11,54
"20";1795;48,25;11,656
"21";1795;48,23;11,678
"22";1797;48,138;11,428
"23";1803;48,098;11,511
"24";1805;48,142;11,516
"25";1825;48,13;11,349
"26";1827;48,182;11,538
"27";1829;48,118;11,599
"28";1831;48,107;11,708
"29";1841;48,156;11,551
"30";1841;48,109;11,538
"31";1955;48,314;11,562
"32";2205;48,02;11,477
"33";2211;48,131;11,502
"34";2247;48,147;11,595
"35";2283;48,018;11,478
"36";2500;48,126;11,55
"37";2620;48,128;11,593
"38";2656;48,175;11,791
"39";2852;48,21;11,453
"40";2882;48,081;11,603
"41";2884;48,254;11,547
"42";2986;48,151;11,556
"43";3064;48,157;11,534
"44";3183;48,143;11,469
"45";3221;48,154;11,53
"46";3227;48,02;11,477
"47";3235;48,152;11,562
"48";3339;48,283;11,678
"49";3353;48,136;11,565
"50";3441;48,197;11,532
"51";3487;48,176;11,712
"52";3599;48,222;11,475
"53";3645;48,06;11,662
"54";3655;48,159;11,55
"55";3693;48,114;11,603
"56";3720;48,175;11,356
"57";3724;48,15;11,622
"58";3741;48,071;11,688
"59";3815;48,153;11,537
"60";3817;48,078;11,516
"61";3867;48,151;11,528
"62";3935;48,143;11,491
"63";4009;48,2;11,547
"64";4067;48,159;11,619
"65";4194;48,049;11,626
"66";4252;48,083;11,533
"67";4284;48,161;11,534
"68";4315;48,199;11,798
"69";4418;48,122;11,659
"70";4430;48,139;11,488
"71";4442;48,177;11,566
"72";4452;48,152;11,584
"73";4603;48,273;11,563
"74";4611;48,149;11,559
"75";4630;48,17;11,601
"76";4634;48,158;11,815
"77";4658;48,112;11,583
"78";4676;48,181;11,478
"79";4714;48,191;11,614
"80";4728;48,28;11,557
"81";4728;48,068;11,655
"82";4752;48,154;11,507
"83";4893;48,112;11,528
"84";4903;48,142;11,616
"85";4959;48,199;11,532
"86";5024;48,177;11,807
"87";5209;48,047;11,706
"88";5213;48,137;11,559
"89";5261;48,25;11,64
"90";5315;48,189;11,638
"91";5323;48,153;11,538
"92";5385;48,183;11,527
"93";5547;48,213;11,566
"94";5728;48,129;11,597
"95";5783;48,124;11,554
"96";5835;48,13;11,578
"97";5855;48,166;11,536
"98";5859;48,08;11,599
"99";5955;48,08;11,599
"100";6067;48,184;11,586
"101";6117;48,203;11,509
"102";6217;48,206;11,551
"103";6280;48,205;11,612
"104";6334;48,204;11,576
"105";6606;48,129;11,543
"106";6918;48,107;11,421
"107";7039;48,18;11,538
"108";7094;48,143;11,46
"109";7152;48,12;11,536
"110";7197;48,128;11,675
"111";7302;48,158;11,54
"112";7314;48,137;11,537
"113";7318;48,131;11,562
"114";7357;48,128;11,678
"115";7379;48,128;11,487
"116";7412;48,136;11,539
"117";7444;48,126;11,593
"118";7503;48,135;11,535
"119";7607;48,12;11,534
"120";7647;48,02;11,72
"121";7661;48,183;11,51
"122";7687;48,148;11,459
"123";7693;48,161;11,51
"124";7705;48,111;11,552
"125";7727;48,109;11,552
"126";7763;48,124;11,635
"127";7805;48,139;11,531
"128";7889;48,11;11,478
"129";7889;48,137;11,502
"130";8042;48,132;11,366
"131";8110;48,11;11,678
"132";8135;48,139;11,538
"133";8234;48,124;11,549
"134";8254;48,162;11,543
"135";8295;48,154;11,563
"136";8353;48,09;11,498
"137";8466;48,147;11,649
"138";8646;48,175;11,573
"139";8720;48,08;11,677
"140";8899;48,167;11,458
"141";8907;48,109;11,581
"142";9026;48,101;11,588
"143";9026;48,141;11,549
"144";9178;48,126;11,546
"145";9224;48,071;11,617
"146";9348;48,214;11,53
"147";9386;48,15;11,434
"148";9447;48,129;11,375
"149";9453;48,13;11,379
"150";9481;48,062;11,671
"151";9536;48,024;11,725
"152";9657;48,111;11,622
"153";9724;48,127;11,553
"154";9731;48,09;11,595
"155";9787;47,977;11,65
"156";9838;48,15;11,506
"157";10092;48,092;11,485
"158";10108;48,168;11,527
"159";10232;48,175;11,756
"160";10271;48,165;11,437
"161";10475;48,265;11,436
"162";10533;48,114;11,652
"163";10544;48,172;11,626
"164";10552;48,313;11,555
"165";10592;48,181;11,581
"166";10635;47,899;11,447
"167";10793;48,079;11,505
"168";11104;48,109;11,522
"169";11259;48,058;11,666
"170";11296;48,118;11,734
"171";11398;48,117;11,608
"172";11825;48,094;11,496
"173";11869;48,139;11,616
"174";12165;48,128;11,476
"175";12275;48,144;11,424
"176";12330;48,114;11,585
"177";12371;48,165;11,537
"178";12463;48,231;11,673
"179";12463;48,13;11,505
"180";12465;48,185;11,548
"181";12521;48,148;11,534
"182";12552;48,13;11,518
"183";12569;48,062;11,391
"184";12731;48,141;11,615
"185";13034;48,023;11,81
"186";13220;48,129;11,477
"187";13313;48,111;11,603
"188";13413;48,137;11,387
"189";13603;48,258;11,462
"190";13643;48,178;11,569
"191";14021;48,116;11,579
"192";14096;48,105;11,545
"193";14121;48,115;11,441
"194";14237;48,177;11,601
"195";14249;48,138;11,639
"196";14260;48,131;11,369
"197";14758;48,138;11,514
"198";14841;48,169;11,565
"199";14860;48,128;11,598
"200";14890;48,013;11,59
"201";14905;48,047;11,701
"202";14913;48,311;11,672
"203";14921;48,12;11,664
"204";14955;48,093;11,501
"205";15041;48,114;11,535
"206";15404;48,124;11,589
"207";15443;48,147;11,576
"208";15468;48,155;11,575
"209";15622;48,133;11,592
"210";15679;48,16;11,56
"211";15780;48,171;11,71
"212";15797;48,198;11,457
"213";15841;48,022;11,813
"214";15944;48,178;11,524
"215";15950;48,112;11,57
"216";15966;48,153;11,534
"217";16075;48,243;11,645
"218";16258;48,182;11,553
"219";16375;48,105;11,416
"220";16389;48,124;11,586
"221";16502;48,107;11,674
"222";16512;48,029;11,599
"223";16520;48,111;11,523
"224";16526;48,151;11,543
"225";16606;48,199;11,547
"226";16620;48,155;11,507
"227";16864;48,126;11,642
"228";17372;48,116;11,59
"229";17633;48,146;11,594
"230";17894;48,361;11,441
"231";17967;48,05;11,696
"232";17985;48,122;11,546
"233";18493;48,066;11,668
"234";18510;48,045;11,616
"235";18614;48,151;11,565
"236";18800;48,161;11,569
"237";19161;48,141;11,53
"238";19260;48,114;11,67
"239";19456;48,094;11,478
"240";19472;48,129;11,586
