"";"sensor_id";"lat";"lon"
"1";"277";52,54;13,386
"2";"283";52,517;13,425
"3";"319";52,511;13,411
"4";"327";52,533;13,35
"5";"719";52,48;13,442
"6";"781";52,569;13,401
"7";"828";52,559;13,188
"8";"1376";52,502;13,488
"9";"1412";52,525;13,408
"10";"1444";52,496;13,338
"11";"1847";52,449;13,357
"12";"2015";52,505;13,418
"13";"2053";52,543;13,44
"14";"2055";52,56;13,374
"15";"2057";52,494;13,429
"16";"2067";52,502;13,354
"17";"2079";52,522;13,345
"18";"2105";52,548;13,408
"19";"2109";52,532;13,399
"20";"2111";52,538;13,4
"21";"2115";52,556;13,394
"22";"2119";52,54;13,42
"23";"2123";52,46;13,527
"24";"2125";52,511;13,424
"25";"2129";52,544;13,375
"26";"2285";52,512;13,449
"27";"2287";52,46;13,437
"28";"2518";52,555;13,34
"29";"2668";52,455;13,323
"30";"2806";52,529;13,379
"31";"2810";52,439;13,505
"32";"2848";52,447;13,434
"33";"2874";52,6;13,327
"34";"3036";52,551;13,408
"35";"3099";52,745;13,474
"36";"3103";52,438;13,228
"37";"3123";52,511;13,393
"38";"3223";52,511;13,271
"39";"3239";52,54;13,423
"40";"3267";52,451;13,326
"41";"3287";52,437;13,502
"42";"3355";52,486;13,375
"43";"3491";52,479;13,422
"44";"3755";52,526;13,361
"45";"3763";52,493;13,411
"46";"3851";52,295;13,42
"47";"3937";52,498;13,469
"48";"3943";52,547;13,427
"49";"4076";52,545;13,418
"50";"4337";52,533;13,435
"51";"4440";52,517;13,443
"52";"4756";52,578;13,425
"53";"4806";52,483;13,432
"54";"4841";52,526;13,326
"55";"4915";52,427;13,249
"56";"4961";52,467;13,342
"57";"5018";52,526;13,308
"58";"5026";52,481;13,353
"59";"5040";52,568;13,365
"60";"5149";52,467;13,436
"61";"5231";52,557;13,495
"62";"5247";52,42;13,58
"63";"5251";52,507;13,32
"64";"5463";52,486;13,386
"65";"5666";52,501;13,408
"66";"5672";52,474;13,325
"67";"5678";52,559;13,565
"68";"5706";52,467;13,305
"69";"5710";52,524;13,422
