"";"sensor_id";"lat";"lon"
"1";"345";50,103;8,549
"2";"691";50,085;8,576
"3";"761";50,128;8,728
"4";"996";50,126;8,698
"5";"1072";50,087;8,634
"6";"1262";50,113;8,705
"7";"1348";49,88;8,666
"8";"1388";49,88;8,649
"9";"1569";50,12;8,699
"10";"1575";50,161;8,664
"11";"1695";49,87;8,649
"12";"2161";50,226;8,682
"13";"2514";50,005;8,812
"14";"2572";49,863;8,651
"15";"2604";50,298;8,52
"16";"2856";50,12;8,667
"17";"2886";50,237;8,606
"18";"3111";50,107;8,684
"19";"3177";50,109;8,63
"20";"3225";49,883;8,665
"21";"3241";50,103;8,663
"22";"3269";49,91;8,648
"23";"3319";49,869;8,668
"24";"3423";50,107;8,584
"25";"3493";49,871;8,651
"26";"3689";50,239;8,595
"27";"3714";49,988;8,674
"28";"3731";50,098;8,57
"29";"3747";50,057;8,689
"30";"3777";50,076;8,659
"31";"3861";50,13;8,708
"32";"3945";50,178;8,627
"33";"4080";50,075;8,436
"34";"4188";49,873;8,649
"35";"4305";49,926;8,608
"36";"4585";50,107;8,642
"37";"4595";49,978;8,742
"38";"4626";50,178;8,886
"39";"4808";49,931;8,606
"40";"4895";49,947;8,472
"41";"4909";49,869;8,66
"42";"4937";49,865;8,675
"43";"4984";49,902;8,599
"44";"4996";49,878;8,661
"45";"5065";50,13;8,695
"46";"5347";49,86;8,645
"47";"5412";50,057;8,678
"48";"5493";49,865;8,657
"49";"5497";50,12;8,701
"50";"5799";49,899;8,671
"51";"6049";50,017;8,779
"52";"6326";50,182;8,624
"53";"6362";49,932;8,494
"54";"6505";49,859;8,767
"55";"6665";49,906;8,598
"56";"6699";50,147;8,673
"57";"6737";49,903;8,596
"58";"6761";50,133;8,713
"59";"6926";50,076;8,867
"60";"6951";50,139;8,502
"61";"6971";50,117;8,496
"62";"7098";50,115;8,673
"63";"7122";50,147;8,429
"64";"7156";49,862;8,757
"65";"7493";49,902;8,59
"66";"7571";49,927;8,547
"67";"8228";50,118;8,714
"68";"8496";50,074;8,488
"69";"8624";50,223;8,609
"70";"9028";50,186;8,736
"71";"9268";50,121;8,605
"72";"9469";50,135;8,751
"73";"9518";50,22;8,782
"74";"9741";50,207;8,739
"75";"9846";50,084;8,795
"76";"10088";49,87;8,664
"77";"10643";50,132;8,626
"78";"11054";50,106;8,702
"79";"11082";50,187;8,467
"80";"11165";50,232;8,768
"81";"11245";49,857;8,646
"82";"11281";49,927;8,869
"83";"11799";50,118;8,649
"84";"11976";50,14;8,644
"85";"12003";49,879;8,666
"86";"12318";50,117;8,847
"87";"12645";49,863;8,622
"88";"12954";50,145;8,691
"89";"12962";49,881;8,666
"90";"13085";49,881;8,664
"91";"13102";50,163;8,625
"92";"13224";50,147;8,435
"93";"13257";50,083;8,444
"94";"13415";50,149;8,681
"95";"13656";50,105;8,701
"96";"13668";49,864;8,654
"97";"13728";50,125;8,766
"98";"13979";49,863;8,639
"99";"14078";50,15;8,568
"100";"14211";49,872;8,635
"101";"14233";50,2;8,6
"102";"14348";50,376;8,741
"103";"14381";50,329;8,72
"104";"14973";49,925;8,856
"105";"15018";50,343;8,746
"106";"15061";50,306;8,566
"107";"15268";50,134;8,715
"108";"15299";49,954;8,643
"109";"15416";50,343;8,612
"110";"16027";50,159;8,617
"111";"16123";49,869;8,661
"112";"16173";50,118;8,686
"113";"16395";50,106;8,653
"114";"16403";50,158;8,641
"115";"16618";49,873;8,646
"116";"16687";50,242;8,771
"117";"16717";50,088;8,698
"118";"16961";49,883;8,681
