"";"sensor_id";"lat";"lon"
"1";"239";53,591;10,004
"2";"317";53,448;10,227
"3";"353";53,592;10,044
"4";"413";53,55;9,944
"5";"543";53,558;9,97
"6";"591";53,607;10,047
"7";"811";53,331;9,886
"8";"836";53,55;9,933
"9";"838";53,542;10,003
"10";"930";53,545;9,91
"11";"938";53,584;9,969
"12";"980";53,515;9,993
"13";"1004";53,481;10,174
"14";"1070";53,463;9,972
"15";"1088";53,556;9,991
"16";"1104";53,494;10,02
"17";"1134";53,55;10,048
"18";"1523";53,658;10,118
"19";"1573";53,565;9,965
"20";"1577";53,607;10,004
"21";"1637";53,52;10,048
"22";"1639";53,552;10,08
"23";"1682";53,596;10,059
"24";"1697";53,612;9,906
"25";"2406";53,544;9,998
"26";"2414";53,464;9,954
"27";"2448";53,556;9,946
"28";"2470";53,557;9,94
"29";"2522";53,331;9,86
"30";"2548";53,521;10,248
"31";"2554";53,558;10,062
"32";"2556";53,564;9,927
"33";"2558";53,488;10,006
"34";"2560";53,547;9,967
"35";"2568";53,685;10,033
"36";"2592";53,56;9,947
"37";"2660";53,519;9,984
"38";"2738";53,547;10,013
"39";"2876";53,548;9,942
"40";"3022";53,584;9,938
"41";"3274";53,673;10,064
"42";"3297";53,572;10,174
"43";"3351";53,596;9,982
"44";"3411";53,586;10,014
"45";"3497";53,577;9,955
"46";"3503";53,49;10,175
"47";"3539";53,562;9,963
"48";"3553";53,557;10,007
"49";"3579";53,579;10,024
"50";"3587";53,593;9,967
"51";"3629";53,626;10,012
"52";"3673";53,556;9,936
"53";"3675";53,579;9,962
"54";"3825";53,633;10,07
"55";"3881";53,481;10,237
"56";"3907";53,516;9,996
"57";"3926";53,599;10,041
"58";"3997";53,556;9,914
"59";"3999";53,603;10,113
"60";"4029";53,442;10,004
"61";"4074";53,522;9,806
"62";"4104";53,586;10,056
"63";"4216";53,571;10,083
"64";"4238";53,553;10,067
"65";"4272";53,658;9,797
"66";"4294";53,633;10,101
"67";"4307";53,449;9,984
"68";"4309";53,576;9,981
"69";"4317";53,575;9,933
"70";"4377";53,685;9,993
"71";"4385";53,54;10,042
"72";"4387";53,584;9,818
"73";"4581";53,582;10,054
"74";"4664";53,558;9,904
"75";"4668";53,568;10,044
"76";"4672";53,552;9,943
"77";"4724";53,543;10,226
"78";"4732";53,668;10,007
"79";"4736";53,567;9,905
"80";"4748";53,582;9,962
"81";"4764";53,582;9,946
"82";"4766";53,576;9,745
"83";"4853";53,488;10,211
"84";"4921";53,623;10,106
"85";"4945";53,58;9,963
"86";"4990";53,617;10,076
"87";"4992";53,524;10,166
"88";"5151";53,396;10,033
"89";"5153";53,583;10,085
"90";"5279";53,588;10,01
"91";"5383";53,448;10,077
"92";"5391";53,624;9,786
"93";"5407";53,582;9,946
"94";"5410";53,493;9,992
"95";"5452";53,577;9,822
"96";"5491";53,541;10,224
"97";"5600";53,658;10,068
"98";"5612";53,581;9,956
"99";"5742";53,501;10,019
"100";"5791";53,481;10,006
"101";"5857";53,467;9,959
"102";"5963";53,562;9,907
"103";"5989";53,545;9,977
"104";"6057";53,494;9,928
"105";"6213";53,587;9,955
"106";"6253";53,485;10,018
"107";"6263";53,576;10,048
"108";"6308";53,518;9,986
"109";"6310";53,658;10,068
"110";"6360";53,479;10,003
"111";"6436";53,551;9,918
"112";"6511";53,437;9,979
"113";"6574";53,518;10,249
"114";"6624";53,561;10,108
"115";"6669";53,495;9,994
"116";"6683";53,558;10,012
"117";"6729";53,379;10,022
"118";"6743";53,476;10,082
"119";"6830";53,517;9,985
"120";"6870";53,589;9,967
"121";"7029";53,5;10,176
"122";"7140";53,562;9,948
"123";"7160";53,576;9,978
"124";"7205";53,48;10,003
"125";"7217";53,58;10,095
"126";"7308";53,33;9,875
"127";"7326";53,69;9,993
"128";"7354";53,637;10,095
"129";"7414";53,511;10,17
"130";"7563";53,586;10,039
"131";"7603";53,556;9,846
"132";"7861";53,626;9,835
"133";"8100";53,47;9,832
"134";"8137";53,631;9,858
"135";"8151";53,623;9,959
"136";"8321";53,565;9,976
"137";"8345";53,656;10,096
"138";"8409";53,671;10,08
"139";"8548";53,555;10,021
"140";"8610";53,649;10,098
"141";"8677";53,628;10,015
"142";"9104";53,547;9,981
"143";"9115";53,653;10,168
"144";"9180";53,488;10,227
"145";"9262";53,569;9,885
"146";"9270";53,459;9,94
