"";"sensor_id";"lat";"lon"
"1";"355";48,111;11,581
"2";"489";48,121;11,576
"3";"525";48,135;11,504
"4";"826";48,132;11,608
"5";"936";48,194;11,548
"6";"982";48,124;11,577
"7";"990";48,127;11,601
"8";"1014";48,118;11,628
"9";"1024";48,213;11,349
"10";"1028";48,12;11,488
"11";"1270";48,138;11,55
"12";"1294";48,311;11,729
"13";"1338";48,157;11,559
"14";"1426";48,213;11,349
"15";"1432";48,19;11,367
"16";"1539";48,188;11,643
"17";"1675";48,105;11,616
"18";"1795";48,23;11,678
"19";"1797";48,138;11,428
"20";"1803";48,098;11,511
"21";"1805";48,142;11,516
"22";"1825";48,13;11,349
"23";"1827";48,182;11,538
"24";"1829";48,118;11,599
"25";"1831";48,107;11,708
"26";"1841";48,109;11,538
"27";"1955";48,314;11,562
"28";"2205";48,02;11,477
"29";"2211";48,131;11,502
"30";"2247";48,147;11,595
"31";"2283";48,018;11,478
"32";"2620";48,128;11,593
"33";"2656";48,175;11,791
"34";"2852";48,21;11,453
"35";"2882";48,081;11,603
"36";"2884";48,254;11,547
"37";"2986";48,151;11,556
"38";"3064";48,157;11,534
"39";"3221";48,154;11,53
"40";"3227";48,02;11,477
"41";"3235";48,152;11,562
"42";"3353";48,136;11,565
"43";"3441";48,197;11,532
"44";"3487";48,176;11,712
"45";"3599";48,222;11,475
"46";"3645";48,06;11,662
"47";"3655";48,159;11,55
"48";"3693";48,114;11,603
"49";"3741";48,071;11,688
"50";"3815";48,153;11,537
"51";"3817";48,078;11,516
"52";"3867";48,151;11,528
"53";"3935";48,143;11,491
"54";"4009";48,2;11,547
"55";"4067";48,159;11,619
"56";"4194";48,049;11,626
"57";"4252";48,083;11,533
"58";"4284";48,161;11,534
"59";"4315";48,199;11,798
"60";"4418";48,122;11,659
"61";"4430";48,139;11,488
"62";"4452";48,152;11,584
"63";"4603";48,273;11,563
"64";"4611";48,149;11,559
"65";"4630";48,17;11,601
"66";"4634";48,158;11,815
"67";"4676";48,181;11,478
"68";"4893";48,112;11,528
"69";"4903";48,142;11,616
"70";"4959";48,199;11,532
"71";"5024";48,177;11,807
"72";"5209";48,047;11,706
"73";"5213";48,137;11,559
"74";"5261";48,25;11,64
"75";"5315";48,189;11,638
"76";"5323";48,153;11,538
"77";"5385";48,183;11,527
"78";"5547";48,213;11,566
"79";"5728";48,129;11,597
"80";"5783";48,124;11,554
"81";"5859";48,08;11,599
"82";"5955";48,08;11,599
"83";"6117";48,203;11,509
"84";"6217";48,206;11,551
"85";"6280";48,205;11,612
"86";"6334";48,204;11,576
"87";"6606";48,129;11,543
"88";"7039";48,18;11,538
"89";"7094";48,143;11,46
"90";"7197";48,128;11,675
"91";"7302";48,158;11,54
"92";"7318";48,131;11,562
"93";"7357";48,128;11,678
"94";"7379";48,128;11,487
"95";"7412";48,136;11,539
"96";"7444";48,126;11,593
"97";"7503";48,135;11,535
"98";"7607";48,12;11,534
"99";"7647";48,02;11,72
"100";"7661";48,183;11,51
"101";"7693";48,161;11,51
"102";"7705";48,111;11,552
"103";"7727";48,109;11,552
"104";"7763";48,124;11,635
"105";"7805";48,139;11,531
"106";"8042";48,132;11,366
"107";"8110";48,11;11,678
"108";"8135";48,139;11,538
"109";"8234";48,124;11,549
"110";"8254";48,162;11,543
"111";"8295";48,154;11,563
"112";"8353";48,09;11,498
"113";"8466";48,147;11,649
"114";"8646";48,175;11,573
"115";"8720";48,08;11,677
"116";"8899";48,167;11,458
"117";"8907";48,109;11,581
"118";"9026";48,141;11,549
"119";"9178";48,126;11,546
"120";"9224";48,071;11,617
"121";"9348";48,214;11,53
"122";"9386";48,15;11,434
"123";"9447";48,129;11,375
"124";"9453";48,13;11,379
"125";"9481";48,062;11,671
"126";"9536";48,024;11,725
"127";"9657";48,111;11,622
"128";"9724";48,127;11,553
"129";"9731";48,09;11,595
"130";"9787";47,977;11,65
"131";"9838";48,15;11,506
"132";"10092";48,092;11,485
"133";"10108";48,168;11,527
"134";"10232";48,175;11,756
"135";"10271";48,165;11,437
"136";"10475";48,265;11,436
"137";"10533";48,114;11,652
"138";"10544";48,172;11,626
"139";"10592";48,181;11,581
"140";"10635";47,899;11,447
"141";"10793";48,079;11,505
"142";"11104";48,109;11,522
"143";"11259";48,058;11,666
"144";"11296";48,118;11,734
"145";"11398";48,117;11,608
"146";"11825";48,094;11,496
"147";"11869";48,139;11,616
"148";"12165";48,128;11,476
"149";"12275";48,144;11,424
"150";"12330";48,114;11,585
"151";"12371";48,165;11,537
"152";"12463";48,13;11,505
"153";"12465";48,185;11,548
"154";"12521";48,148;11,534
"155";"12552";48,13;11,518
"156";"12569";48,062;11,391
"157";"12731";48,141;11,615
"158";"13034";48,023;11,81
"159";"13313";48,111;11,603
"160";"13413";48,137;11,387
"161";"13603";48,258;11,462
"162";"13643";48,178;11,569
"163";"14021";48,116;11,579
"164";"14096";48,105;11,545
"165";"14121";48,115;11,441
"166";"14237";48,177;11,601
"167";"14249";48,138;11,639
"168";"14758";48,138;11,514
"169";"14860";48,128;11,598
"170";"14890";48,013;11,59
"171";"14905";48,047;11,701
"172";"14913";48,311;11,672
"173";"14955";48,093;11,501
"174";"15041";48,114;11,535
"175";"15404";48,124;11,589
"176";"15443";48,147;11,576
"177";"15468";48,155;11,575
"178";"15622";48,133;11,592
"179";"15679";48,16;11,56
"180";"15780";48,171;11,71
"181";"15797";48,198;11,457
"182";"15841";48,022;11,813
"183";"15944";48,178;11,524
"184";"15950";48,112;11,57
"185";"15966";48,153;11,534
"186";"16075";48,243;11,645
"187";"16258";48,182;11,553
"188";"16375";48,105;11,416
"189";"16389";48,124;11,586
"190";"16502";48,107;11,674
"191";"16512";48,029;11,599
"192";"16520";48,111;11,523
"193";"16526";48,151;11,543
"194";"16606";48,199;11,547
"195";"16620";48,155;11,507
"196";"16864";48,126;11,642
