city;id;type;otype;lat;lon;name;amenity;amenity_specification;amenity2
Berlin;3377809280;node;1;52,4412326;13,7563458;Siedlung;bus_stop;;Bus Stop
Berlin;3377809279;node;1;52,4408056;13,7560427;Siedlung;bus_stop;;Bus Stop
Berlin;3989455237;node;1;52,4288132;13,7307062;Lutherstraﬂe;bus_stop;;Bus Stop
Berlin;3989756045;node;1;52,4277802;13,7304341;Lutherstraﬂe;bus_stop;;Bus Stop
Berlin;4898810346;node;1;52,4248139;13,7270577;D‰meritz Seehotel;ferry_terminal;;Ferry Terminal
Berlin;3989455231;node;1;52,4259437;13,7270277;D‰meritzstraﬂe;bus_stop;;Bus Stop
Berlin;3989756049;node;1;52,4251619;13,7248403;D‰meritzstraﬂe;bus_stop;;Bus Stop
Berlin;4012502920;node;1;52,4384919;13,7223287;S Wilhelmshagen;halt;station;Train Station
Berlin;3989455242;node;1;52,4252902;13,7216779;Eichenstraﬂe/Waldstraﬂe;bus_stop;;Bus Stop
Berlin;4012502928;node;1;52,4250454;13,7216329;Eichenstraﬂe/Waldstraﬂe;bus_stop;;Bus Stop
Berlin;413020904;node;1;52,4386175;13,7209048;S Wilhelmshagen;bus_stop;;Bus Stop
Berlin;1317772775;node;1;52,4386009;13,7206071;Bhf. Wilhelmshagen;taxi;;Taxi
Berlin;3989756048;node;1;52,4266161;13,7196477;Hubertusstraﬂe;bus_stop;;Bus Stop
Berlin;3989455239;node;1;52,4269859;13,7191939;Hubertusstraﬂe;bus_stop;;Bus Stop
Berlin;3989756043;node;1;52,4311563;13,7187199;Fahlenbergstraﬂe;bus_stop;;Bus Stop
Berlin;3989455233;node;1;52,4314584;13,7182184;Fahlenbergstraﬂe;bus_stop;;Bus Stop
Berlin;1907305722;node;1;52,436582;13,7172036;Frankenbergstraﬂe;bus_stop;;Bus Stop
Berlin;3989455238;node;1;52,4361664;13,7167377;Frankenbergstraﬂe;bus_stop;;Bus Stop
Berlin;3989455240;node;1;52,4317936;13,7150428;Lagunenweg;bus_stop;;Bus Stop
Berlin;3989756044;node;1;52,4322706;13,7131391;Lagunenweg;bus_stop;;Bus Stop
Berlin;3989455236;node;1;52,4330187;13,711512;Schˆnblicker Straﬂe;bus_stop;;Bus Stop
Berlin;1907304658;node;1;52,4329908;13,7112341;Schˆnblicker Straﬂe;bus_stop;;Bus Stop
Berlin;2475694124;node;1;52,4346631;13,7039668;F¸rstenwalder Allee/Schule;bus_stop;;Bus Stop
Berlin;1907303945;node;1;52,4346607;13,7034839;F¸rstenwalder Allee/Schule;bus_stop;;Bus Stop
Berlin;3258240242;node;1;52,4038111;13,7001173;Gosener Kanal;bus_stop;;Bus Stop
Berlin;3258240245;node;1;52,4039997;13,7000389;Gosener Kanal;bus_stop;;Bus Stop
Berlin;894167849;node;1;52,441284;13,6996112;Petershagener Weg;bus_stop;;Bus Stop
Berlin;894167052;node;1;52,4413725;13,6994681;Petershagener Weg;bus_stop;;Bus Stop
Berlin;1907303106;node;1;52,4359714;13,6989543;Gr¸nheider Weg;bus_stop;;Bus Stop
Berlin;1654463603;node;1;52,4389667;13,6988544;Mˆnchsheimer straﬂe;bus_stop;;Bus Stop
Berlin;1654462579;node;1;52,4386213;13,6987776;Mˆnchsheimer Straﬂe;bus_stop;;Bus Stop
Berlin;3989455241;node;1;52,4365845;13,6975447;Gr¸nheider Weg;bus_stop;;Bus Stop
Berlin;3989756046;node;1;52,4412611;13,6953078;Hortwinkeler Weg;bus_stop;;Bus Stop
Berlin;3989455235;node;1;52,4411412;13,6938992;Hortwinkeler Weg;bus_stop;;Bus Stop
Berlin;1023914674;node;1;52,3716046;13,6936955;Schmˆckwitzwerder;bus_stop;;Bus Stop
Berlin;1023914591;node;1;52,3717388;13,693602;Schmˆckwitzwerder;bus_stop;;Bus Stop
Berlin;252280390;node;1;52,451526;13,6929464;S Rahnsdorf;tram_stop;stop_position;Tram Stop
Berlin;1665080425;node;1;52,4509844;13,691361;S Rahnsdorf;bus_stop;;Bus Stop
Berlin;1848987180;node;1;52,4509817;13,6911447;S Rahnsdorf;bus_stop;;Bus Stop
Berlin;3989756041;node;1;52,4411444;13,690668;Waldsch¸tzpfad;bus_stop;;Bus Stop
Berlin;1907301755;node;1;52,4410589;13,6906215;Waldsch¸tzpfad;bus_stop;;Bus Stop
Berlin;4012502919;node;1;52,4516372;13,6899776;S Rahnsdorf;station;station;Subway Station
Berlin;1318189939;node;1;52,4411035;13,6889228;P¸ttbergeweg;taxi;;Taxi
Berlin;3162501784;node;1;52,4417806;13,6867366;Rahnsdorf/Waldsch‰nke;bus_stop;;Bus Stop
Berlin;3162501785;node;1;52,4421354;13,6865321;Rahnsdorf/Waldsch‰nke;bus_stop;;Bus Stop
Berlin;1848988307;node;1;52,4435669;13,6860106;Rahnsdorf/Waldsch‰nke;bus_stop;;Bus Stop
Berlin;1848988311;node;1;52,4433689;13,6858141;Rahnsdorf/Waldsch‰nke;bus_stop;;Bus Stop
