city;id;type;otype;lat;lon;name;amenity;amenity_specification;amenity2
Cologne;266411361;node;1;50,8382669;7,0694915;Libur Kiche;bus_stop;platform;Bus Stop
Cologne;1963985707;node;1;50,8382986;7,0693844;Libur Kiche;bus_stop;;Bus Stop
Cologne;266411360;node;1;50,8392576;7,0731571;Libur, Margarethenstraﬂe;bus_stop;platform;Bus Stop
Cologne;5610280688;node;1;50,8392905;7,0731415;Libur, Margarethenstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;1963965952;node;1;50,8392942;7,0729544;Libur, Margarethenstraﬂe;bus_stop;;Bus Stop
Cologne;1233659073;node;1;50,8411627;7,1043038;Niederkasseler Straﬂe;bus_stop;platform;Bus Stop
Cologne;1383538209;node;1;50,8415008;7,0070825;Langel S¸d;bus_stop;platform;Bus Stop
Cologne;1975165962;node;1;50,8415385;7,0069591;Langel S¸d;bus_stop;platform;Bus Stop
Cologne;1224362896;node;1;50,8416245;7,1050333;Niederkasseler Straﬂe;bus_stop;platform;Bus Stop
Cologne;1234552704;node;1;50,8426588;7,1012438;Spicher Straﬂe;bus_stop;platform;Bus Stop
Cologne;260688995;node;1;50,8447194;7,007538;Langel Kirche;bus_stop;platform;Bus Stop
Cologne;1704837737;node;1;50,8447837;7,0076843;Langel Kirche;bus_stop;platform;Bus Stop
Cologne;1234561605;node;1;50,845133;7,1021464;Niederkasseler Straﬂe/Kreisel;bus_stop;platform;Bus Stop
Cologne;1360245265;node;1;50,8470844;6,9782897;Godorf;tram_stop;stop_position;Tram stop
Cologne;2122649294;node;1;50,8471023;6,9783251;Godorf;tram_stop;station;Tram stop
Cologne;58694630;node;1;50,8471216;6,9783719;Godorf;tram_stop;stop_position;Tram stop
Cologne;2604652572;node;1;50,8477689;6,9785398;Godorf;bus_stop;platform;Bus Stop
Cologne;6022288794;node;1;50,8478244;6,9785325;Godorf Bf;bus_stop;stop_position;Bus Stop
Cologne;5873205882;node;1;50,8485788;7,0096343;Porz-Langel Zur Eiche;bus_stop;stop_position;Bus Stop
Cologne;260688997;node;1;50,8485891;7,0095958;Porz-Langel Zur Eiche;bus_stop;platform;Bus Stop
Cologne;1383536666;node;1;50,8490624;6,9756522;Pierstraﬂe;bus_stop;platform;Bus Stop
Cologne;6022288793;node;1;50,8490856;6,9757113;Pierstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;2792817104;node;1;50,8490877;6,9757754;Pierstraﬂe;bus_stop;platform;Bus Stop
Cologne;6022288792;node;1;50,850368;6,9710545;Friedhof Godorf;bus_stop;stop_position;Bus Stop
Cologne;1383536549;node;1;50,850378;6,971058;Friedhof Godorf;bus_stop;;Bus Stop
Cologne;5873205881;node;1;50,8505154;7,0125279;Rheinbergstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;260688998;node;1;50,8505668;7,0124381;Rheinbergstraﬂe;bus_stop;platform;Bus Stop
Cologne;5873205880;node;1;50,8507757;7,0131175;Rheinbergstraﬂe;bus_stop;platform;Bus Stop
Cologne;5873205879;node;1;50,8508052;7,0130367;Rheinbergstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;1383538208;node;1;50,852984;7,018601;Porz-Langel M¸hle;bus_stop;stop_position;Bus Stop
Cologne;1383536516;node;1;50,8530749;6,9751828;Bunsenstraﬂe;bus_stop;platform;Bus Stop
Cologne;387900292;node;1;50,8533679;6,9279378;Frankenstraﬂe;bus_stop;stop_position;Bus Stop
Cologne;2536287711;node;1;50,8534926;6,9753421;Bunsenstraﬂe;bus_stop;platform;Bus Stop
Cologne;387900287;node;1;50,8537845;6,9210577;Engeldorfer Hof;bus_stop;stop_position;Bus Stop
Cologne;205326998;node;1;50,8538157;6,9655831;Immendorf Siedlung;bus_stop;stop_position;Bus Stop
Cologne;1457573885;node;1;50,855875;6,9287107;Im Rheintal;bus_stop;stop_position;Bus Stop
Cologne;1383536602;node;1;50,8562756;6,9623586;Immendorf Schule;bus_stop;stop_position;Bus Stop
Cologne;185700853;node;1;50,8563217;7,0255446;Porz-Langel Nord;bus_stop;stop_position;Bus Stop
Cologne;1383536511;node;1;50,8569244;6,9233388;Auf der Freiheit;bus_stop;stop_position;Bus Stop
Cologne;6028573541;node;1;50,8579295;6,9748202;Otto-Hahn-Straﬂe;bus_stop;platform;Bus Stop
Cologne;303323449;node;1;50,8581608;7,0795155;Wahn S-Bahn;bus_stop;platform;Bus Stop
Cologne;4553072696;node;1;50,858162;7,079225;Porz-Wahn;station;station;Subway Station
Cologne;1674359646;node;1;50,8583741;7,0918794;Kornblumenweg;bus_stop;stop_position;Bus Stop
Cologne;3654032007;node;1;50,8583978;7,0797675;;taxi;;Taxi
Cologne;1671606594;node;1;50,8584699;7,092472;Kornblumenweg;bus_stop;stop_position;Bus Stop
