city;id;type;otype;lat;lon;name;amenity;amenity_specification;amenity2
Frankfurt;2445637311;node;1;50,0229567;8,5766509;Geb‰ude 556;bus_stop;;Bus stop
Frankfurt;2445637309;node;1;50,0230204;8,5765758;Geb‰ude 556;bus_stop;platform;Bus stop
Frankfurt;1644358035;node;1;50,0237482;8,5714099;Geb‰ude 555;bus_stop;platform;Bus stop
Frankfurt;1644358037;node;1;50,0252463;8,5839676;Geb‰ude 587;bus_stop;platform;Bus stop
Frankfurt;2639966731;node;1;50,0253491;8,5837099;Geb‰ude 587;bus_stop;platform;Bus stop
Frankfurt;2183336996;node;1;50,0254688;8,5515275;Geb‰ude 527;bus_stop;;Bus stop
Frankfurt;2639966725;node;1;50,0261018;8,5602327;Geb‰ude 534;bus_stop;platform;Bus stop
Frankfurt;2639966727;node;1;50,0261865;8,5598917;Geb‰ude 534;bus_stop;platform;Bus stop
Frankfurt;4611636226;node;1;50,0263017;8,5866844;Geb‰ude 571;bus_stop;platform;Bus stop
Frankfurt;2445637310;node;1;50,0263824;8,5658523;Geb‰ude 543;bus_stop;platform;Bus stop
Frankfurt;4611578158;node;1;50,0265205;8,5881461;Flughafen Tor 32;bus_stop;platform;Bus stop
Frankfurt;2639966728;node;1;50,0265445;8,5620874;Geb‰ude 536;bus_stop;platform;Bus stop
Frankfurt;2639966730;node;1;50,0267566;8,5622453;Geb‰ude 536;bus_stop;platform;Bus stop
Frankfurt;3428367295;node;1;50,0271504;8,5848476;Geb‰ude 664;bus_stop;platform;Bus stop
Frankfurt;4611578155;node;1;50,0295162;8,5905535;Geb‰ude 681;bus_stop;platform;Bus stop
Frankfurt;2682306531;node;1;50,0328207;8,5910805;Elly-Beinhorn-Straﬂe;bus_stop;platform;Bus stop
Frankfurt;1545771941;node;1;50,0336134;8,5920006;Elly-Beinhorn-Straﬂe;bus_stop;platform;Bus stop
Frankfurt;252737861;node;1;50,0355515;8,5917371;Flughafen Tor 120;bus_stop;stop_position;Bus stop
Frankfurt;3426857485;node;1;50,0374939;8,594415;Flughafen Tor 33;bus_stop;platform;Bus stop
Frankfurt;2588098692;node;1;50,0405061;8,5320091;Flughafen Tor 26;bus_stop;stop_position;Bus stop
