"user_id","status_id","created_at","screen_name","text","source","verified","city","domain"
"x811966506720497664","x1074080693460832256","2018-12-15 23:16:07+00","StoerungenBahn","<U+0001F556> S-Bahn München

Signalstörung auf der Strecke Neufahrn (b Freising) - München-Feldmoching zwischen Unterschleißheim und Schleißheim. Es kommt zu Verspätungen im S-Bahn-Verkehr. /fb","Facebook","f","muenchen","train"
"x708022979905658880","x1074012406051954688","2018-12-15 18:44:46+00","Sir_Schnee","Betrunken Auto gefahren, einen Unfall verursacht und dann abgehauen!

#DieLinke - Abgeordneter Hakan Tas teilte mit, er bereue den 'Vorfall' zutiefst.

Jaja, das glaube ich ihm  ... nämlich dass er erwischt wurde bereut er! #HakanTas #Berlin #SED 
 https://t.co/iMCUNrlPI2","Twitter for Android","f","berlin","traffic"
"x940673181496594432","x1074011216064974848","2018-12-15 18:40:02+00","refundrebel_EU","Aktuelle top Verspätung: +106min., ICE574, von #Stuttgart Hbf nach #Hamburg-Altona #ICE574 #Fahrgastrechte #Zugverspätung #Verspätung #Bahn #Zugfahrt #refundrebel","refundrebel","f","hamburg","train"
"x17893836","x1074010330957799424","2018-12-15 18:36:31+00","bitterlemmer","@MGrosseBroemer @annaesch1 Ich bring Ihnen ein Souvenir vorbei, wenn mir folgendes gelingt: Ohne Stau und ohne Funkloch von Oberbayern nach Berlin im Auto und ohne Zugverspätung und ohne Funkloch zurück. Sie wissen sicher, ab wann das möglich ist?","TweetDeck","f","berlin","traffic"
"x43736987","x1073998910451052544","2018-12-15 17:51:08+00","cherubimu","#hhbue #hamburg was macht der #spd #grüne senat
um das stau problem zu lösen
die preise für den #hvv erhöhen
... ja ne schon klar
https://t.co/Seh0xkR55j","Twitter Web Client","f","hamburg","traffic"
"x14327439","x1073994977456386048","2018-12-15 17:35:31+00","mopo","Verkehrs-Ärger in Hamburg: So will die Stadt jetzt das Stau-Problem lösen https://t.co/1cb0C5p0Og https://t.co/ccWE0dBFUk","Echobox Social","t","hamburg","traffic"
"x1043911740675829760","x1073994409715359744","2018-12-15 17:33:15+00","start_unterelbe","#RE5 #Cuxhaven(18:09)<U+2192>#Hamburg Hbf(19:57). Der Zug hat den Bahnhof #Cuxhaven mit einer Verspätung von 14 Minuten verlassen.","Twitter Web Client","f","hamburg","train"
"x39999078","x1073983530215137280","2018-12-15 16:50:01+00","DB_Bahn","@FrauZimt Heute konnte ich zwischen 8 und 9 Uhr keine Verspätung bei der S-Bahn ab Hamburg-Bergedorf feststellen. Am Montag kam es wegen des Streiks zu Verspätungen und Dienstag, Mittwoch und Donnerstag kam es wegen einer techn. Störung an der Strecke zu Verspätungen. /ni","SocialHub by maloon","t","hamburg","train"
"x163576129","x1073981006904881152","2018-12-15 16:40:00+00","Regio_NRW","#RB25 Teilausfall ab #Köln #Hansaring (18:21) &gt; Köln Hbf (18:24). Störung am Zug","TweetDeck","t","koeln","train"
"x163576129","x1073969268335742976","2018-12-15 15:53:21+00","Regio_NRW","#S11, Abfahrt #Bergisch #Gladbach 17:53, über #Köln Hbf 18:14, #Dormagen 18:47, #Düsseldorf Hbf 19:23 &gt; Düsseldorf Flughafen Terminal 19:35, Ausfall. Störung am Zug","Twitter Web Client","t","koeln","train"
