"created_at","city","domain","n"
2018-11-27,"berlin","traffic",4
2018-11-27,"berlin","train",54
2018-11-27,"frankfurt","traffic",1
2018-11-27,"frankfurt","train",1
2018-11-27,"hamburg","traffic",2
2018-11-27,"hamburg","train",8
2018-11-27,"koeln","traffic",1
2018-11-27,"koeln","train",17
2018-11-27,"muenchen","train",2
2018-11-28,"berlin","traffic",12
2018-11-28,"berlin","train",222
2018-11-28,"frankfurt","traffic",4
2018-11-28,"frankfurt","train",2
2018-11-28,"hamburg","traffic",3
2018-11-28,"hamburg","train",92
2018-11-28,"koeln","traffic",4
2018-11-28,"koeln","train",71
2018-11-28,"muenchen","traffic",1
2018-11-28,"muenchen","train",30
2018-11-29,"berlin","traffic",36
2018-11-29,"berlin","train",298
2018-11-29,"frankfurt","traffic",1
2018-11-29,"frankfurt","train",8
2018-11-29,"hamburg","traffic",1
2018-11-29,"hamburg","train",78
2018-11-29,"koeln","traffic",7
2018-11-29,"koeln","train",144
2018-11-29,"muenchen","traffic",2
2018-11-29,"muenchen","train",18
2018-11-30,"berlin","traffic",29
2018-11-30,"berlin","train",348
2018-11-30,"frankfurt","traffic",3
2018-11-30,"frankfurt","train",9
2018-11-30,"hamburg","traffic",2
2018-11-30,"hamburg","train",107
2018-11-30,"koeln","traffic",1
2018-11-30,"koeln","train",119
2018-11-30,"muenchen","train",16
2018-12-01,"berlin","traffic",12
2018-12-01,"berlin","train",279
2018-12-01,"frankfurt","traffic",2
2018-12-01,"frankfurt","train",4
2018-12-01,"hamburg","traffic",2
2018-12-01,"hamburg","train",49
2018-12-01,"koeln","traffic",3
2018-12-01,"koeln","train",62
2018-12-01,"muenchen","train",15
2018-12-02,"berlin","traffic",10
2018-12-02,"berlin","train",163
2018-12-02,"frankfurt","traffic",2
2018-12-02,"frankfurt","train",2
2018-12-02,"hamburg","train",94
2018-12-02,"koeln","train",41
2018-12-02,"muenchen","traffic",4
2018-12-02,"muenchen","train",11
2018-12-03,"berlin","traffic",34
2018-12-03,"berlin","train",354
2018-12-03,"frankfurt","traffic",2
2018-12-03,"frankfurt","train",13
2018-12-03,"hamburg","traffic",4
2018-12-03,"hamburg","train",68
2018-12-03,"koeln","traffic",5
2018-12-03,"koeln","train",178
2018-12-03,"muenchen","traffic",3
2018-12-03,"muenchen","train",30
2018-12-04,"berlin","traffic",25
2018-12-04,"berlin","train",294
2018-12-04,"frankfurt","traffic",4
2018-12-04,"frankfurt","train",6
2018-12-04,"hamburg","traffic",8
2018-12-04,"hamburg","train",106
2018-12-04,"koeln","traffic",5
2018-12-04,"koeln","train",113
2018-12-04,"muenchen","train",20
2018-12-05,"berlin","traffic",22
2018-12-05,"berlin","train",340
2018-12-05,"frankfurt","traffic",3
2018-12-05,"frankfurt","train",4
2018-12-05,"hamburg","traffic",8
2018-12-05,"hamburg","train",37
2018-12-05,"koeln","traffic",14
2018-12-05,"koeln","train",138
2018-12-05,"muenchen","traffic",1
2018-12-05,"muenchen","train",17
2018-12-06,"berlin","traffic",32
2018-12-06,"berlin","train",300
2018-12-06,"frankfurt","traffic",11
2018-12-06,"frankfurt","train",6
2018-12-06,"hamburg","traffic",4
2018-12-06,"hamburg","train",106
2018-12-06,"koeln","traffic",5
2018-12-06,"koeln","train",121
2018-12-06,"muenchen","traffic",2
2018-12-06,"muenchen","train",16
2018-12-07,"berlin","traffic",19
2018-12-07,"berlin","train",285
2018-12-07,"frankfurt","traffic",6
2018-12-07,"frankfurt","train",5
2018-12-07,"hamburg","traffic",1
2018-12-07,"hamburg","train",184
2018-12-07,"koeln","traffic",5
2018-12-07,"koeln","train",138
2018-12-07,"muenchen","traffic",2
2018-12-07,"muenchen","train",23
2018-12-08,"berlin","traffic",1
2018-12-08,"berlin","train",240
2018-12-08,"frankfurt","train",6
2018-12-08,"hamburg","traffic",1
2018-12-08,"hamburg","train",143
2018-12-08,"koeln","train",95
2018-12-08,"muenchen","traffic",2
2018-12-08,"muenchen","train",10
