"latitude","longtitude","Downloadrate"
52.22,13.23,5752
52.22,13.23,5752
52.22,13.23,5752
52.22,13.23,5752
52.22,13.23,5752
52.22,13.23,6526
52.22,13.23,6526
52.22,13.23,6526
52.22,13.23,6526
52.22,13.23,6526
52.21,13.23,6555
52.21,13.23,6555
52.21,13.23,6555
52.21,13.23,6555
52.21,13.23,6555
52.21,13.23,6597
52.21,13.23,6597
52.21,13.23,6597
52.21,13.23,6597
52.21,13.23,6597
52.22,13.23,7088
52.22,13.23,7088
52.22,13.23,7088
52.22,13.23,7088
52.22,13.23,7088
52.22,13.23,8053
52.22,13.23,8053
52.22,13.23,8053
52.22,13.23,8053
52.22,13.23,8053
52.22,13.23,8131
52.22,13.23,8131
52.22,13.23,8131
52.22,13.23,8131
52.22,13.23,8131
52.22,13.23,8328
52.22,13.23,8328
52.22,13.23,8328
52.22,13.23,8328
52.22,13.23,8328
52.21,13.23,8356
52.21,13.23,8356
52.21,13.23,8356
52.21,13.23,8356
52.21,13.23,8356
52.21,13.23,8483
52.21,13.23,8483
52.21,13.23,8483
52.21,13.23,8483
52.21,13.23,8483
52.53,13.23,8835
52.53,13.23,8835
52.53,13.23,8835
52.53,13.23,8835
52.53,13.23,8835
52.21,13.23,9316
52.21,13.23,9316
52.21,13.23,9316
52.21,13.23,9316
52.21,13.23,9316
52.22,13.23,9449
52.22,13.23,9449
52.22,13.23,9449
52.22,13.23,9449
52.22,13.23,9449
52.22,13.23,9466
52.22,13.23,9466
52.22,13.23,9466
52.22,13.23,9466
52.22,13.23,9466
52.53,13.23,9696
52.53,13.23,9696
52.53,13.23,9696
52.53,13.23,9696
52.53,13.23,9696
52.22,13.23,10327
52.22,13.23,10327
52.22,13.23,10327
52.22,13.23,10327
52.22,13.23,10327
52.53,13.23,10435
52.53,13.23,10435
52.53,13.23,10435
52.53,13.23,10435
52.53,13.23,10435
52.22,13.23,10552
52.22,13.23,10552
52.22,13.23,10552
52.22,13.23,10552
52.22,13.23,10552
52.21,13.23,10894
52.21,13.23,10894
52.21,13.23,10894
52.21,13.23,10894
52.21,13.23,10894
52.53,13.23,12466
52.53,13.23,12466
52.53,13.23,12466
52.53,13.23,12466
52.53,13.23,12466
52.53,13.23,1913
52.53,13.23,1913
52.53,13.23,1913
52.53,13.23,1913
51.31,13.23,2511
51.31,13.23,2511
51.31,13.23,2511
51.31,13.23,2511
52.53,13.23,5076
52.53,13.23,5076
52.53,13.23,5076
52.53,13.23,5076
51.31,13.23,5545
51.31,13.23,5545
51.31,13.23,5545
51.31,13.23,5545
51.31,13.23,6122
51.31,13.23,6122
51.31,13.23,6122
51.31,13.23,6122
51.31,13.23,6168
51.31,13.23,6168
51.31,13.23,6168
51.31,13.23,6168
51.31,13.23,6241
51.31,13.23,6241
51.31,13.23,6241
51.31,13.23,6241
51.31,13.23,6352
51.31,13.23,6352
51.31,13.23,6352
51.31,13.23,6352
51.31,13.23,6500
51.31,13.23,6500
51.31,13.23,6500
51.31,13.23,6500
52.53,13.23,6514
52.53,13.23,6514
52.53,13.23,6514
52.53,13.23,6514
51.31,13.23,6567
51.31,13.23,6567
51.31,13.23,6567
51.31,13.23,6567
51.31,13.23,6698
51.31,13.23,6698
51.31,13.23,6698
51.31,13.23,6698
51.31,13.23,8139
51.31,13.23,8139
51.31,13.23,8139
51.31,13.23,8139
52.53,13.23,9301
52.53,13.23,9301
52.53,13.23,9301
52.53,13.23,9301
51.31,13.23,14965
51.31,13.23,14965
51.31,13.23,14965
51.31,13.23,14965
51.31,13.23,16448
51.31,13.23,16448
51.31,13.23,16448
51.31,13.23,16448
52.53,13.23,2966
52.53,13.23,2966
52.53,13.23,2966
52.53,13.23,2966
52.53,13.23,2966
52.53,13.23,2966
52.53,13.23,3068
52.53,13.23,3068
52.53,13.23,3068
52.53,13.23,3068
52.53,13.23,3068
52.53,13.23,3068
52.53,13.23,4957
52.53,13.23,4957
52.53,13.23,4957
52.53,13.23,4957
52.53,13.23,4957
52.53,13.23,4957
52.53,13.23,6567
52.53,13.23,6567
52.53,13.23,6567
52.53,13.23,6567
52.53,13.23,6567
52.53,13.23,6567
52.53,13.23,7435
52.53,13.23,7435
52.53,13.23,7435
52.53,13.23,7435
52.53,13.23,7435
52.53,13.23,7435
52.53,13.23,22219
52.53,13.23,22219
52.53,13.23,22219
52.53,13.23,22219
52.53,13.23,22219
52.53,13.23,22219
52.53,13.23,22961
52.53,13.23,22961
52.53,13.23,22961
52.53,13.23,22961
52.53,13.23,22961
52.53,13.23,22961
52.53,13.23,23409
52.53,13.23,23409
52.53,13.23,23409
52.53,13.23,23409
52.53,13.23,23409
52.53,13.23,23409
52.53,13.23,26345
52.53,13.23,26345
52.53,13.23,26345
52.53,13.23,26345
52.53,13.23,26345
52.53,13.23,26345
52.53,13.23,4369
52.53,13.23,4369
52.53,13.23,4369
52.53,13.23,4369
52.53,13.23,4369
52.53,13.23,4369
